Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,1.79,2.27,0.01,0.08,-3.45,-97.73%,91472,18431,1.41%,0.56409694975503,2.3829270454909,-0.0482113291,0.046031717191717,0.0034263715635238,0.080003204770727,225,225,0,0.25
2024-11-14,1.46,4.1,1.31,3.53,1.88,+113.94%,43682,24364,27.81%,0.83937222199589,0.073430753719676,-0.4277140537,0.029138030536256,0.005151574325879,3.5300023014694,228.22,225,3.4,3.55
2024-11-13,1.36,2.62,0.85,1.65,0.11,+7.14%,61207,35224,22.52%,0.52181790882052,0.10616793978601,-0.387586316,0.066375719035027,0.0063500340591327,1.5850037606396,225.12,225,1.53,1.64
2024-11-12,1.9,2.22,1.26,1.54,-0.25,-13.97%,42921,32765,22.95%,0.44548584535678,0.084707502783434,-0.3191321618,0.080334636006776,0.0080838045246168,1.5400047256845,224.23,225,1.51,1.59
2024-11-11,2.36,2.67,0.9,1.79,-1.81,-50.28%,64820,27079,22.44%,0.45469930338441,0.075253085178709,-0.2729864463,0.093032596646762,0.010977448047278,1.7900051377145,224.23,225,1.77,1.83
2024-11-08,3.95,4.95,3.2,3.6,-0.65,-15.29%,3964,27013,20.69%,0.6433125943642,0.061935006819726,-0.2041749802,0.10849736050803,0.023409666474272,3.600006508682,226.96,225,3.55,3.65
2024-11-07,2.84,4.4,2.79,4.25,2.19,+106.31%,10725,29493,20.14%,0.66081331744241,0.053964896380653,-0.1726925048,0.12325939793403,0.032016389650291,4.250005688458,227.48,225,3.4,4.3
2024-11-06,2.22,3.7,1.8,2.06,-0.99,-32.46%,11815,28869,21.51%,0.40021430469888,0.051362331290995,-0.1719063556,0.13511753149793,0.02146037018016,2.1050126566306,222.72,225,2.07,2.14
2024-11-05,2.62,3.55,2.57,3.05,0.28,+10.11%,5891,29181,24.70%,0.45247087942234,0.043359471163997,-0.192653235,0.14648041153766,0.026865049186897,3.0500127371123,223.45,225,3.05,3.15
2024-11-04,2.78,3.35,2.24,2.77,-0.83,-23.06%,11962,29614,25.68%,0.40194368016161,0.039079906049541,-0.1843742023,0.14906599207453,0.02605893177603,2.7700003913599,222.01,225,2.76,2.87
2024-11-01,4.15,5.1,3.25,3.6,-3.7,-50.68%,9640,27572,25.19%,0.44803402904654,0.035966058711383,-0.1668549925,0.17264999522597,0.036927202270221,3.6000119481665,222.91,225,3.6,3.75
2024-10-31,8.9,9.3,7.15,7.3,-1.95,-21.08%,1624,27604,35.14%,0.54678525961904,0.023838552054873,-0.2195920251,0.1873438300785,0.050948674184248,7.3000124847077,225.91,225,7,7.3
2024-10-30,10.85,11.1,9.15,9.25,-2.55,-21.61%,1265,27492,32.25%,0.650218265591,0.023115342080943,-0.1911554972,0.18382327660372,0.065271963647007,9.4750143964874,230.1,225,9.35,9.6
2024-10-29,11.83,12.18,11.45,11.8,0.010000000000002,+0.08%,239,27495,30.42%,0.73406347528495,0.020775848269809,-0.162953451,0.17017988315253,0.0787714643943,11.800009903621,233.67,225,11.7,12
2024-10-28,11.7,12.7,11.25,11.79,1.29,+12.29%,249,27509,30.56%,0.72339500048704,0.02055189991851,-0.1620517467,0.17809822586627,0.081753563531706,11.790017559645,233.4,225,10.9,12.75
2024-10-25,9.8,11.59,9.8,10.5,0.4,+3.96%,554,27441,29.44%,0.68030225787041,0.021868436785174,-0.156594055,0.19831896395285,0.084536050392892,10.499999999991,231.41,225,10.35,10.75
2024-10-24,9.5,10.15,8.85,10.1,-0.2,-1.94%,326,27368,28.15%,0.66280920182572,0.022407645699449,-0.1464018943,0.21128736161328,0.090016476580601,9.9749999999922,230.57,225,9.9,10.05
2024-10-23,12.45,13.2,8.7,10.3,-3.7,-26.43%,1485,27678,28.40%,0.66375672403829,0.021700687980167,-0.1447656906,0.21576858349991,0.093943130391594,10.299999999994,230.76,225,10.2,10.35
2024-10-22,12,14,11.7,14,-0.37,-2.57%,320,27657,26.77%,0.77343518656721,0.018204741728338,-0.1196356387,0.18569471601795,0.11551391532372,13.775017102809,235.86,225,13.65,13.9
2024-10-21,13.09,14.65,12.95,14.37,0.99,+7.40%,535,27831,26.75%,0.78115356911284,0.017472219063956,-0.1161517189,0.18614321589791,0.12135238344477,14.370011748727,236.48,225,14.35,14.5
2024-10-18,14.1,14.1,12.8,13.38,1.89,+16.45%,761,27685,26.30%,0.75148104857561,0.01849284745014,-0.1162832507,0.20600180369869,0.12521089052822,13.380015639841,235,225,13.25,13.4
2024-10-17,11.95,11.95,10.65,11.49,0.19,+1.68%,852,27503,26.00%,0.69317204390426,0.020284703777377,-0.1190918821,0.23357353642267,0.12282227529798,11.490014386023,232.15,225,11.35,11.9
2024-10-16,11.55,11.55,10.3,11.3,-1.9,-14.39%,1737,27508,25.70%,0.68603729115395,0.020421535143112,-0.1174942248,0.2394376237313,0.1254555294004,11.299999999967,231.78,225,11.3,11.4
2024-10-15,12.95,15.85,12.12,13.2,1.92,+17.02%,2291,28043,27.09%,0.71565358897582,0.018065153699407,-0.118353025,0.23461674805898,0.13515330850513,13.200017258112,233.85,225,12.1,13.3
2024-10-14,9.93,11.5,9.9,11.28,2.13,+23.28%,855,28082,25.99%,0.67156562234452,0.019982752522003,-0.1167120774,0.25119802418028,0.13024359375358,11.280013575143,231.3,225,11.15,11.35
2024-10-11,10.4,10.4,9.06,9.15,-1.3,-12.44%,687,27980,26.04%,0.59207901394908,0.021154450260513,-0.1170432901,0.27341861278994,0.12042130757202,9.1500155668182,227.55,225,9.1,9.25
2024-10-10,9.7,10.63,9.56,10.45,-0.4,-3.69%,472,27905,26.63%,0.61995119096128,0.019598458458407,-0.115923092,0.27747388573953,0.13335019874017,10.450003786387,229.04,225,10.3,10.5
2024-10-09,8.41,10.93,8.37,10.85,2.05,+23.30%,5558,28441,26.49%,0.62985525449429,0.019235894089517,-0.1140467228,0.27946719232778,0.13922737106604,10.850009218655,229.54,225,10.75,10.85
2024-10-08,8,8.95,7.7,8.8,1.8,+25.71%,1378,28349,26.74%,0.55487559107148,0.020019658410419,-0.114370134,0.29144790158008,0.12445709770521,8.8000172989116,225.77,225,8.75,8.85
2024-10-07,8.26,8.8,6.9,7,-2.5,-26.32%,1901,27897,27.37%,0.47460093467224,0.019813601205544,-0.1121056542,0.29203731644139,0.10763732349925,7.000021583324,221.69,225,6.95,7.1
2024-10-04,10.47,10.47,8.4,9.5,0.15,+1.60%,1271,27794,26.06%,0.57600821495277,0.019530376919634,-0.1080910539,0.30112651442578,0.13939826407867,9.5000218743587,226.8,225,9.45,9.6
