Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,0.42,1.02,0.03,0.1,-0.06,-37.50%,53300,25262,2.38%,-0.4738045395,1.4996616122147,-0.0457037684,0.046274306181423,-0.0022604606,0.1000039943622,225,225,0.05,0.17
2024-11-14,1.26,1.28,0.15,0.16,-1.16,-87.88%,51203,19416,23.16%,-0.1174945221,0.071270098998714,-0.2695691295,0.023542786124642,-0.0006831311,0.16000011269592,228.22,225,0.16,0.18
2024-11-13,2.25,2.99,0.85,1.32,-0.95,-41.85%,36760,18490,21.10%,-0.4784089843,0.11359352297517,-0.3387319732,0.06636183152151,-0.0051631422,1.320006124958,225.12,225,1.25,1.36
2024-11-12,2.08,2.76,1.5,2.27,-0.08,-3.40%,12728,18654,22.08%,-0.5588773837,0.088958480368748,-0.2821072658,0.080164744448235,-0.008795987,2.1650041998006,224.23,225,2.09,2.24
2024-11-11,2.08,4.25,1.81,2.35,1.02,+76.69%,11238,18194,21.25%,-0.5506696086,0.079722297468333,-0.2339440193,0.092814101761973,-0.011506757,2.3500047577376,224.23,225,2.33,2.42
2024-11-08,1.55,1.64,1.06,1.33,-0.22,-14.19%,16560,17384,18.89%,-0.3463311637,0.067345183036631,-0.1604921568,0.10732812137927,-0.0115782847,1.2900084848843,226.96,225,1.26,1.32
2024-11-07,3.05,3.2,1.48,1.55,-2.8,-64.37%,13252,19268,20.04%,-0.3403246388,0.05449876435988,-0.1461923505,0.12339880288572,-0.0152684656,1.5500060668331,227.48,225,1.5,1.65
2024-11-06,4.32,5.15,2.56,4.35,-0.15,-3.33%,6168,19996,22.87%,-0.5970555702,0.048808794205165,-0.1583584847,0.13518545541949,-0.0274628902,4.3500093870694,222.72,225,4.3,4.4
2024-11-05,5.65,5.65,4.4,4.5,-1.05,-18.92%,1517,20129,25.71%,-0.5481646951,0.041933332235574,-0.175395974,0.14632332464783,-0.0288427313,4.5000133822803,223.45,225,4.45,4.6
2024-11-04,6.55,7.25,5.13,5.55,-0.1,-1.77%,1580,20499,26.07%,-0.6001950831,0.038777993407606,-0.1626181152,0.14867141088332,-0.0338672826,5.5500049168559,222.01,225,5.55,5.65
2024-11-01,7.6,7.85,4.6,5.65,-0.65,-10.32%,3265,21700,26.96%,-0.5510601183,0.033894366939933,-0.1533776707,0.17247787130643,-0.0403403235,5.6500121477742,222.91,225,5.4,5.65
2024-10-31,4.43,6.35,4.3,6.3,2.15,+51.81%,5684,21870,36.82%,-0.4560702353,0.022873175008513,-0.2043551682,0.18740593020462,-0.0408475865,6.3000121829808,225.91,225,6,6.5
2024-10-30,3,4.2,2.91,4.15,1.39,+50.36%,2255,21211,32.88%,-0.3536354374,0.022852326552705,-0.1693695261,0.18454460376064,-0.0349494526,4.0500130071151,230.1,225,4,4.1
2024-10-29,3,3.25,2.57,2.76,-0.16,-5.48%,2790,22208,31.02%,-0.2707709156,0.020633365438859,-0.1408832026,0.17174956506078,-0.0289503419,2.7599999999998,233.67,225,2.68,2.8
2024-10-28,2.99,3.16,2.6,2.92,-0.78,-21.08%,1769,21586,30.72%,-0.278882525,0.020606319998402,-0.1372427162,0.17883440458798,-0.0314384176,2.9199999999911,233.4,225,2.87,2.99
2024-10-25,4.18,4.18,3,3.7,-0.2,-5.13%,2256,20457,30.22%,-0.3252474904,0.021552049599703,-0.1353221511,0.19971419612085,-0.0398072883,3.7000115658218,231.41,225,3.6,3.8
2024-10-24,4.35,4.75,3.9,3.9,-0.15,-3.70%,1711,20079,28.58%,-0.3414608568,0.022305135559857,-0.1231872322,0.21221488408553,-0.0450418695,3.8999999999919,230.57,225,3.9,4
2024-10-23,2.77,5.35,2.54,4.05,1.73,+74.57%,10370,23734,29.01%,-0.3412840369,0.021491216567155,-0.1224118426,0.2169139202292,-0.0470936346,4.0499999999939,230.76,225,3.95,4.1
