Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,11.09,11.5,11.09,11.5,0,0.00%,0,1588,146.66%,0.92637837482129,0.016864903286508,-0.5854207421,0.0078731715080232,0.0019110301633834,11.350000675483,108.57,97.5,10.4,12.3
2016-11-17,11.09,11.5,11.09,11.5,0,0.00%,0,1588,0.00%,1,0,-0.001122,0,0.002671,10.621122,109,97.5,9.65,11.4
2016-11-16,11.09,11.5,11.09,11.5,0,0.00%,0,1588,80.67%,0.96192991111753,0.012806353433636,-0.133276543,0.00662741553808,0.0037851716124614,10.80000049642,108.2,97.5,10.65,10.95
2016-11-15,11.09,11.5,11.09,11.5,2.4,+26.37%,0,1588,134.02%,0.80607136377653,0.021039225509586,-0.5976706443,0.026774391343691,0.0052270098493415,11.475001713909,107.49,97.5,11.4,11.55
2016-11-14,9.1,9.1,9.1,9.1,0,0.00%,0,1588,69.91%,0.88453155425937,0.025056200636762,-0.1885810392,0.021625802849971,0.0074780931365958,9.0999999999913,106.15,97.5,8.65,9.55
2016-11-11,9.1,9.1,9.1,9.1,0,0.00%,0,1588,0.00%,1,0,-0.001223,0,0.013355,9.146123,107.48,97.5,8.2,9.75
2016-11-10,9.1,9.1,9.1,9.1,0,0.00%,0,1588,54.11%,0.89674903677001,0.020848999857562,-0.0962607994,0.028581753696024,0.014992102367139,10.475000736424,107.54,97.5,9.65,11.3
2016-11-09,9.1,9.1,9.1,9.1,0,0.00%,0,1588,66.44%,0.80414605400907,0.024984359373337,-0.169459301,0.046013005742027,0.015652821932919,9.80000287977,106.04,97.5,8.65,10.95
2016-11-08,9.1,9.1,9.1,9.1,0,0.00%,0,1588,46.57%,0.88336565139582,0.023862510094556,-0.0800847225,0.034559099863877,0.018477155285476,9.550003124217,106.57,97.5,9,10.1
2016-11-07,9.1,9.1,9.1,9.1,1.2,+15.19%,0,1588,48.07%,0.85147022857402,0.026180971681976,-0.0926911249,0.042597459016288,0.019969439998621,9.2000034062912,106,97.5,8.9,9.5
