Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,0.02,0.02,0.02,0.02,0,0.00%,0,5171,94.27%,-0.0132251827,0.0063837120996086,-0.0917061045,0.0019172191943921,-0.000039443,0.025000156835729,108.57,97.5,0,0.05
2016-11-17,0.02,0.02,0.02,0.02,0.01,+100.00%,0,5171,93.67%,-0.0107746877,0.0053181692694743,-0.0760267945,0.0016232294194226,-0.0000327243,0.020000094213428,109,97.5,0,0.04
2016-11-16,0.02,0.02,0.01,0.01,0,0.00%,0,5171,73.57%,-0.0262501782,0.01032661222177,-0.0897155605,0.0048771208135534,-0.0001589185,0.059999999998277,108.2,97.5,0,0.12
2016-11-15,0.02,0.02,0.01,0.01,-0.04,-80.00%,0,5171,44.15%,-0.0070198788,0.0045362762288613,-0.014016143,0.0019043664046222,-0.0000628407,0.010000062419621,107.49,97.5,0,0.02
2016-11-14,0.06,0.06,0.04,0.05,-0.02,-28.57%,0,5190,40.28%,-0.0208640516,0.011204465164274,-0.0280951986,0.0055778044797122,-0.0002465435,0.035000431476942,106.15,97.5,0.02,0.05
2016-11-11,0.09,0.09,0.07,0.07,0.06,+600.00%,0,5194,38.24%,-0.0310016774,0.012279039530101,-0.0284408634,0.01040847278683,-0.0006524488,0.070000715488769,107.48,97.5,0.05,0.09
2016-11-10,0.05,0.06,0.01,0.01,-0.04,-80.00%,0,5197,34.48%,-0.0259046562,0.010961609505823,-0.0206738793,0.0095877682994882,-0.0006226364,0.055000484315664,107.54,97.5,0.05,0.06
2016-11-09,0.27,0.27,0.05,0.05,-0.05,-50.00%,0,5232,29.47%,-0.03314502,0.015047610088099,-0.0201627386,0.012304593647874,-0.0008826623,0.065000643345306,106.04,97.5,0.06,0.07
2016-11-08,0.12,0.12,0.08,0.1,-0.03,-23.08%,0,5239,32.36%,-0.045809967,0.016840850623926,-0.0274628747,0.016963255909933,-0.0013676597,0.10999999999894,106.57,97.5,0.09,0.13
2016-11-07,0.15,0.15,0.13,0.13,-0.29,-69.05%,0,5232,30.66%,-0.0551903657,0.019767194607563,-0.028627547,0.020527712807733,-0.0018037501,0.13500187618036,106,97.5,0.12,0.15
