Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,16.25,16.6,16.22,16.22,0.22,+1.37%,3,12,905.76%,0.97949576704087,0.0037376963139774,-0.3333763269,0.0007221975,0.0003052034,16.220000062502,28.1,12,15.45,16.75
2024-11-14,15,16,15,16,-1.,-5.88%,6,28,916.47%,0.97318869616161,0.0047847179077202,-0.4026950786,0.0008755904,0.0003045578,15.15000006976,26.99,12,14.7,15.6
2024-11-13,17,17,17,17,-1.95,-10.29%,2,36,592.40%,0.98700888018674,0.0026357989384973,-0.1076616974,0.0007166347,0.0006331049,17.000000048489,28.93,12,16.2,17.1
2024-11-12,18.63,18.95,18.63,18.95,0,0.00%,16,27,745.03%,0.95710169000716,0.0044307449554538,-0.3142211796,0.0025196484092829,0.0008394153,18.950000188049,30.47,12,17.9,19.1
2024-11-11,18.95,18.95,18.95,18.95,0,0.00%,0,163,527.73%,0.98343942163626,0.0022326483284516,-0.0966339373,0.0014422175666481,0.0012390911056315,21.550000107859,33.41,12,21.25,21.85
2024-11-08,14.35,19.4,14.35,19.4,3.35,+20.87%,39,180,545.32%,0.95990975754673,0.0038690497093271,-0.1618849687,0.0035325462180023,0.0016817613868625,20.400000042008,31.91,12,19.25,20.4
2024-11-07,19.02,19.02,16.05,16.05,-8.52,-34.68%,24,160,392.04%,0.95846123620231,0.005526891995179,-0.0906662719,0.0036436543506918,0.0023001812323287,16.050000200997,27.695,12,14.35,17.3
2024-11-06,32.55,32.55,23.69,24.57,1.57,+6.83%,27,609,507.32%,0.96225057720372,0.002869640921002,-0.1321541073,0.0046418441636192,0.0024725863656982,24.570000378547,35.955,12,23.3,24.75
2024-11-05,27.1,28,23,23,2,+9.52%,17,610,544.40%,0.9458561096373,0.0035924382427609,-0.1692328853,0.0061729655887133,0.0024937942487924,23.000000543243,33.94,12,22.2,23.85
2024-11-04,21,21,21,21,0.95,+4.74%,2,612,526.05%,0.94626076974572,0.0034826840694686,-0.1569068346,0.0065117785459701,0.0027333001700214,23.425000392811,34.34,12,22.55,24.3
2024-11-01,21.19,21.19,20.05,20.05,-5.41,-21.25%,32,612,505.91%,0.92763082199983,0.0047210818231003,-0.1556900392,0.0079448558272929,0.0029555910511903,20.050000746729,30.56,12,18.35,20.15
2024-10-31,23,25.46,23,25.46,-7.35,-22.40%,6,610,382.64%,0.96270317124289,0.002968974469087,-0.0757257025,0.0058323703627286,0.0041494177953183,23.925000319733,35.34,12,22.85,25
2024-10-30,36.99,36.99,32.81,32.81,-7.89,-19.39%,20,590,385.64%,0.97118516910161,0.002035596042595,-0.0678394524,0.0055159150602208,0.0045266966253621,28.550000124241,40.03,12,27.8,29.3
2024-10-29,36.05,41.51,36,40.7,5.69,+16.25%,12,582,386.15%,0.98490443396149,0.0008867532,-0.0495271153,0.0042339564884626,0.0050685185051691,39.850000227354,51.51,12,39.2,40.5
2024-10-28,30,35.28,29.5,35.01,7.56,+27.54%,272,485,365.35%,0.9821683503629,0.0011425428617167,-0.0483116788,0.0046196645137787,0.0053213289319842,35.725000248905,47.36,12,35.05,36.4
2024-10-25,27.4,27.45,27.4,27.45,2.95,+12.04%,20,466,335.63%,0.97094527787441,0.0021648043769583,-0.0520697418,0.0060420833819791,0.0056812595893518,27.450000407201,38.95,12,26.95,27.6
