Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,0,0,0,0,0,0.00%,0,21364,594.61%,-0.0018186635,0.0006690513,-0.0256221788,0.0000849555,-0.0000014364,0.0050000020222031,28.1,12,0,0.01
2024-11-14,0.01,0.01,0.01,0.01,0,0.00%,21,21369,609.18%,-0.0034529063,0.0012052893386501,-0.0446831243,0.0001467417,-0.0000026737,0.010000010182866,26.99,12,0,0.01
2024-11-13,0.01,0.01,0.01,0.01,0,0.00%,27,21360,461.78%,-0.0030215907,0.0009302539,-0.0227630075,0.0001972825,-0.0000050494,0.0099999999999954,28.93,12,0,0.01
2024-11-12,0.02,0.02,0.01,0.01,0,0.00%,16,21353,395.76%,-0.0027434998,0.0007712795,-0.0153747338,0.0002332666,-0.0000072785,0.010000019504797,30.47,12,0,0.01
2024-11-11,0.04,0.04,0.01,0.01,-0.02,-66.67%,432,21336,371.14%,-0.0023247229,0.0005592286,-0.0117855849,0.0002542745,-0.0000090931,0.01000001854829,33.41,12,0.01,0.02
2024-11-08,0.07,0.1,0.03,0.03,-0.05,-62.50%,903,22049,331.93%,-0.0059965388,0.0012505073579504,-0.0192107701,0.0006955143,-0.0000342689,0.030000054256502,31.91,12,0.03,0.04
2024-11-07,0.07,0.09,0.01,0.08,0.02,+33.33%,703,22036,293.40%,-0.0159846088,0.0033232296203297,-0.0300130251,0.0016402280272375,-0.0001072212,0.080000130971953,27.695,12,0.06,0.08
2024-11-06,0.8,0.8,0.01,0.06,-1.25,-95.42%,3702,22385,326.76%,-0.0082595544,0.0012212729610997,-0.0230675955,0.0012731688608432,-0.000082632,0.059999999999872,35.955,12,0.06,0.09
2024-11-05,1.21,1.47,1,1.31,0.1,+8.26%,11906,12364,596.18%,-0.0607756692,0.0035930898866645,-0.2011052982,0.0067603584740645,-0.0008568185,1.3800005777222,33.94,12,1.36,1.4
2024-11-04,1.05,1.32,1.01,1.21,0.14,+13.08%,2741,11735,547.40%,-0.0567075374,0.0034924663905884,-0.1686721239,0.0067942314544351,-0.0008665087,1.2100006585141,34.34,12,1.21,1.28
2024-11-01,0.99,1.18,0.85,1.07,0.09,+9.18%,963,11287,453.32%,-0.0639652844,0.0047901903038443,-0.1255674618,0.0072227809810202,-0.0009821857,1.0700004216778,30.56,12,1.07,1.08
2024-10-31,0.77,1.1,0.7,0.98,0.21,+27.27%,824,11349,445.81%,-0.0495650203,0.003207010459505,-0.1087211431,0.0073383658334991,-0.0010260784,0.98000044297692,35.34,12,0.85,0.99
2024-10-30,0.65,0.81,0.61,0.77,0.15,+24.19%,474,11149,430.39%,-0.03674964,0.0022295489445204,-0.0903933662,0.0067411253418875,-0.0009019961,0.77000059054284,40.03,12,0.74,0.78
