Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,0.25,0.45,0.01,0.02,-0.3,-93.75%,0,2308,13.88%,0.012677725991019,0.0057642049717262,-0.0944812495,0.013399541359316,0.0002687225,0.0250006904073,787.17,800,0,0.05
2016-11-17,0.5,4,0.2,0.32,-0.33,-50.77%,0,2367,27.35%,0.062133403412157,0.010925439778186,-0.6862703368,0.05014504062189,0.0013237890201367,0.30000057444909,782.5,800,0.2,0.4
2016-11-16,0.26,2,0.26,0.65,-0.1,-13.33%,0,2339,33.87%,0.068227736264603,0.0068124649954027,-0.6364133901,0.07507962441703,0.0028486913640999,0.5750073797678,770.42,800,0.5,0.65
2016-11-15,0.64,2.66,0.44,0.75,0.3,+66.67%,0,2324,32.70%,0.070442033843118,0.0059444379387411,-0.5108863372,0.093638098995899,0.0043743267341689,0.70000441014996,765.47,800,0.6,0.8
2016-11-14,1.3,1.3,0.25,0.45,-0.89,-66.42%,0,2186,21.59%,0.057449830445458,0.0065972937629702,-0.2515854299,0.093024693225823,0.004812271885857,0.42500794405799,771.76,800,0.35,0.5
2016-11-11,2.6,3.41,1.03,1.34,-2.05,-60.47%,0,1786,18.86%,0.13348659672443,0.010615881066464,-0.3134450348,0.23177240186363,0.019627478972729,1.3500089988335,776.81,800,1.3,1.4
2016-11-10,14,14.2,2.65,3.39,-9.31,-73.31%,0,1370,0.00%,0.234977,0.011707,-0.674367,0.307416,0.029556,1.950694,810,800,3.4,3.7
2016-11-09,12.9,17.12,9,12.7,-7.3,-36.50%,0,1344,23.46%,0.53315122848206,0.013460316135612,-0.6570990865,0.50054409177419,0.10226626145373,12.750036669282,801.83,800,12.4,13.1
2016-11-08,15.1,21.45,13,20,5.8,+40.85%,0,1382,33.51%,0.5300742660082,0.0089442993034582,-0.889325018,0.52807537210696,0.11132501723717,18.800030436409,802.03,800,17.6,20
2016-11-07,11.4,15.05,10.5,14.2,7,+97.22%,0,1388,29.99%,0.46284609982723,0.0096001550249749,-0.7511013466,0.54813690264118,0.10660645030162,14.200045283607,794.95,800,14,14.4
2016-11-04,6.82,9,6.72,7.2,0.07,+0.98%,0,1337,28.82%,0.26882329479897,0.0075784592975939,-0.5151923501,0.49835727827437,0.076863159503837,6.9500299396624,771.3,800,6.7,7.2
2016-11-03,8.3,9.6,6.2,7.13,-3.12,-30.44%,0,1333,21.19%,0.33349705290142,0.010794060797978,-0.4112496643,0.57833943124441,0.10453901958529,7.2500516721858,784.5,800,7,7.5
2016-11-02,16.44,16.44,9.9,10.25,-8.26,-44.62%,0,820,8.90%,0.68095773800686,0.023749716215532,-0.1739243013,0.60326244216856,0.23641426095921,10.050035881529,806.76,800,9.8,10.3
