Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,12.16,24.48,12.16,24.48,9.93,+68.25%,0,847,102.56%,-0.6089605731,0.0091545719442681,-8.1671051304,0.157045555251,-0.0118477077,24.050010078077,787.17,800,23.6,24.5
2016-11-17,16.1,17.04,12.5,14.55,-5.18,-26.25%,0,847,0.00%,-0.924676,0.01495,-0.666042,0.058441,-0.020304,14.199955,782.5,800,13.6,14.7
2016-11-16,27,27,18.5,19.73,-3.77,-16.04%,0,843,0.00%,-0.898192,0.01153,-1.362047,0.072591,-0.019762,20.083143,770.42,800,20.3,21.2
2016-11-15,35.28,35.28,23.5,23.5,-23.3,-49.79%,0,852,0.00%,-0.933164,0.008006,-1.038341,0.052568,-0.020511,24.846305,765.47,800,24.6,26
2016-11-14,37.6,54.4,37.05,46.8,15.3,+48.57%,0,901,94.59%,-0.6229148558,0.0049718446542711,-3.6232273034,0.3068757237959,-0.0500854871,47.150020817195,771.76,800,46.6,47.7
2016-11-11,30,34,26.3,31.5,8.4,+36.36%,0,890,36.17%,-0.7126638017,0.0087635627665431,-0.9417445832,0.36662339990187,-0.0944851171,29.949999999993,776.81,800,29.4,30.5
2016-11-10,6.3,33,6.3,23.1,15.6,+208.00%,0,960,59.01%,-0.4259231735,0.005541653651502,-1.7301732547,0.47010827422859,-0.0719075898,23.300006108125,810,800,22.8,23.8
2016-11-09,12.5,14,6.8,7.5,1,+15.38%,0,1077,15.98%,-0.4574005693,0.019731780555378,-0.4395513998,0.49940629982732,-0.0816449506,7.0999999998631,801.83,800,6.8,7.4
2016-11-08,10.9,12.45,6,6.5,-5.78,-47.07%,0,993,14.39%,-0.451340232,0.020798473873079,-0.3744237146,0.52562654938082,-0.0893937368,6.6000353180134,802.03,800,5.2,8
2016-11-07,16.74,16.74,10.6,12.28,-9.1,-42.56%,0,1043,16.21%,-0.5822560514,0.017474256303793,-0.3922876153,0.53875909886668,-0.1234857625,11.650048967301,794.95,800,11.3,12
2016-11-04,23.15,23.19,21.38,21.38,-4.25,-16.58%,0,1107,0.00%,-0.694914,0.010033,-0.504126,0.496157,-0.186821,21.20832,771.3,800,25,25.9
2016-11-03,22.16,25.63,20.29,25.63,4.77,+22.87%,0,1110,25.39%,-0.6376457151,0.0092957405094776,-0.4996487814,0.59625613909816,-0.1842118865,25.099999999938,784.5,800,24.7,25.5
2016-11-02,14.58,23.6,13.3,20.86,8.55,+69.46%,0,1267,36.66%,-0.4403898617,0.0063733755654918,-0.7595520738,0.66628542117487,-0.1466165116,21.300033973701,806.76,800,21,21.6
2016-11-01,9.5,15.3,9.1,12.31,2.31,+23.10%,0,1177,24.95%,-0.3895083838,0.008787889180762,-0.4892662357,0.67114981531401,-0.1366740636,12.349999999999,810.87,800,12.1,12.6
2016-10-31,7.6,10.91,6.44,10,2.1,+26.58%,0,1056,26.96%,-0.3106207323,0.0071734358314181,-0.4809019232,0.64486903147816,-0.1183697851,10.150037182577,822.43,800,9.8,10.5
2016-10-28,6.88,7.9,3.06,7.9,-8.78,-52.64%,0,1041,24.42%,-0.2545743179,0.0066191268620277,-0.3691245666,0.63866382700538,-0.1145325776,7.6500382618473,829.94,800,7.4,7.9
2016-10-27,14.5,18,14.5,16.68,-0.32,-1.88%,0,897,33.69%,-0.3494330849,0.0054409408673731,-0.5695456227,0.74793415677568,-0.1646666882,16.749999999974,823.01,800,16.6,16.9
2016-10-26,15.39,17.35,15.3,17,3.2,+23.19%,0,921,33.40%,-0.3291591719,0.0052184109394067,-0.5425279495,0.75112024259733,-0.1632609373,15.700030667465,827.12,800,15.5,15.9
2016-10-25,11.9,14.5,11.9,13.8,2.5,+22.12%,0,861,34.81%,-0.2830035081,0.0045223991172682,-0.5250199158,0.72749231212857,-0.1494895952,13.800053896168,838.5,800,13.5,14.1
2016-10-24,14.75,14.75,11.3,11.3,-4.5,-28.48%,0,700,27.17%,-0.2882834139,0.0057863409976983,-0.4003504647,0.7415373474498,-0.1550844243,11.050067410892,830.09,800,10.7,11.4
2016-10-21,17.76,18.1,15.7,15.8,-0.68,-4.13%,0,693,27.62%,-0.3577179775,0.0059548498524281,-0.4150294772,0.84776399563067,-0.2126884772,15.899999999977,820,800,15,16.8
2016-10-20,17.42,17.42,15.85,16.48,-0.86,-4.96%,0,686,31.42%,-0.3336300953,0.0049655319733124,-0.4566674075,0.84841701218713,-0.2093431784,16.949999999971,827.56,800,16.5,17.4
2016-10-19,16.2,17.34,15.75,17.34,-0.26,-1.48%,0,752,28.80%,-0.3412299562,0.0053913423787192,-0.4144865385,0.86728585513616,-0.2197493728,16.200048932669,824.52,800,16,16.4
2016-10-18,16.9,17.7,15.26,17.6,-2.8,-13.73%,0,681,25.92%,-0.3922801821,0.006251662713865,-0.3790529172,0.91186429340409,-0.2558735087,17.799999999999,814.21,800,17.5,18.1
2016-10-17,22.64,23,19.29,20.4,-2.31,-10.17%,0,682,26.53%,-0.4457158089,0.0062466336131942,-0.3886999095,0.94318920519382,-0.2965937869,22.200051022769,805.99,800,21.9,22.5
2016-10-14,21.03,22.85,21.03,22.71,-1.89,-7.68%,0,624,26.89%,-0.4382294203,0.005864578694849,-0.3762282121,0.98546540184628,-0.3207262086,23.050090338745,807.45,800,22.7,23.4
2016-10-13,24.3,27.1,23.2,24.6,3.73,+17.87%,0,590,26.81%,-0.4465399694,0.005828630537311,-0.3702227989,1.0007765171023,-0.3347828494,23.950064768284,806.07,800,23.6,24.3
2016-10-12,22.74,22.74,20.87,20.87,-1.93,-8.46%,0,583,25.93%,-0.4114780149,0.0058073361202723,-0.3501756761,1.0057852277929,-0.3204817957,20.900077079073,811.96,800,20.6,21.2
2016-10-11,18.68,23.17,18,22.8,4,+21.28%,0,571,28.59%,-0.4055283969,0.0051650499959329,-0.3807653166,1.0184445259115,-0.3275760196,23.050057143618,814.17,800,22.7,23.4
2016-10-10,22.6,22.6,18.4,18.8,-7.15,-27.55%,0,569,21.19%,-0.4567179817,0.0071269489732849,-0.28067402,1.0421264591933,-0.3657206708,20.150068005142,803.93,800,19.7,20.6
2016-10-07,26.3,28.45,25.9,25.95,1.25,+5.06%,0,501,27.00%,-0.448622229,0.0053638193294076,-0.3451369686,1.081524493804,-0.3944043553,26.350096099908,805.93,800,25.9,26.8
2016-10-06,24.9,24.9,24.7,24.7,-2.19,-8.14%,0,502,25.41%,-0.4582547609,0.0056603707635707,-0.3210780808,1.0949214753143,-0.4099868344,25.800070452905,804.08,800,25.4,26.2
2016-10-05,23.03,26.89,23.03,26.89,1.19,+4.63%,0,481,26.81%,-0.4484418273,0.0052752446057998,-0.3348713225,1.1070064667876,-0.4135208103,26.800105002346,806,800,26.4,27.2
2016-10-04,24.54,27.4,24.35,25.7,-1.8,-6.55%,0,465,25.14%,-0.4530513503,0.00557917154051,-0.3101290742,1.1197389281467,-0.4251264707,25.700094151453,805,800,25.3,26.1
2016-10-03,27.8,28.52,27.26,27.5,4.37,+18.89%,0,459,25.01%,-0.4668658328,0.0055834582635408,-0.3054547545,1.1326231446457,-0.4462731196,27.0000987308,802.55,800,26.5,27.5
2016-09-30,24.7,25.3,22.5,23.13,-1.57,-6.36%,0,409,22.62%,-0.4608531877,0.0059639026576281,-0.2679266263,1.1688968307108,-0.467986692,24.650077050307,803.6,800,24.2,25.1
2016-09-29,21.6,26,21.6,24.7,0.2,+0.82%,0,409,24.64%,-0.4420538941,0.0053633792970503,-0.2894860408,1.1792585362265,-0.4649777718,25.700059158806,807.23,800,25.5,25.9
2016-09-28,25.1,25.1,24.2,24.5,1.95,+8.65%,0,388,20.66%,-0.4575557948,0.0063908276056149,-0.2401723417,1.1922205692691,-0.483290437,22.650068592549,804.08,800,22.4,22.9
2016-09-27,24.97,24.97,21.4,22.55,-3.95,-14.91%,0,382,19.40%,-0.4719485237,0.0067835917151723,-0.2230497677,1.2043267241286,-0.5034700998,22.399999999965,801.83,800,22.1,22.7
2016-09-26,26.2,27.14,26,26.5,5.72,+27.53%,0,385,25.49%,-0.4302645575,0.0049965707794563,-0.2903636133,1.212170394985,-0.4835931298,26.450061890508,809.82,800,26.1,26.8
2016-09-23,21.6,21.6,20.73,20.78,0.58,+2.87%,0,372,22.25%,-0.3973518603,0.0054299949622159,-0.2437941435,1.2313072793518,-0.4730188618,21.100050493934,815.14,800,20.7,21.5
2016-09-22,23.51,23.51,20.16,20.2,-5.83,-22.40%,0,313,19.65%,-0.4205401556,0.0062184018062147,-0.2148557972,1.251506241161,-0.5016812491,20.200090360196,810,800,19.8,20.6
2016-09-21,26.1,30.35,26.03,26.03,-1.37,-5.00%,0,258,20.89%,-0.4751121148,0.0059690758962022,-0.2278766833,1.2716880863148,-0.5706761622,25.900068897528,801.26,800,25.4,26.4
2016-09-20,26.8,28.2,26.8,27.4,-2.9,-9.57%,0,195,22.14%,-0.4812471414,0.005599023276126,-0.2387989957,1.2816561728792,-0.5877586227,28.300116264475,800,800,27.8,28.8
2016-09-19,26.5,30.3,26.5,30.3,0.73,+2.47%,0,171,24.10%,-0.473988472,0.0050876805086894,-0.2581225056,1.2929419972373,-0.5936436321,30.550092862111,801.11,800,30.1,31
2016-09-16,29.61,29.61,29.13,29.57,1.77,+6.37%,0,174,22.05%,-0.4856741855,0.0054518907224006,-0.2292518623,1.3233651062829,-0.6323662301,29.550117517841,799.02,800,29,30.1
2016-09-15,27.8,27.8,27.8,27.8,-9.15,-24.76%,0,173,16.64%,-0.5563434293,0.0072343778470934,-0.1675932647,1.3064127362335,-0.7068799127,27.300094298453,790.01,800,26.7,27.9
2016-09-14,32.1,36.95,32.1,36.95,0,0.00%,0,173,20.63%,-0.5490893683,0.0057753034261895,-0.2063361139,1.3167720412892,-0.7185779195,33.700082805483,788.2,800,33.2,34.2
2016-09-13,32.1,36.95,32.1,36.95,7.81,+26.80%,0,189,23.75%,-0.5081312304,0.0049792914002747,-0.2396188201,1.3466036213007,-0.6928596336,35.000118278391,794.01,800,34.5,35.5
2016-09-12,35.4,35.4,29.14,29.14,-3.63,-11.08%,0,173,15.01%,-0.6051534464,0.0076448800682634,-0.1421064779,1.293904515647,-0.7880708341,28.800085802683,784.52,800,28.4,29.2
2016-09-09,28.5,32.77,28.5,32.77,5.67,+20.92%,0,123,25.15%,-0.4822060123,0.0045332869334981,-0.2479349474,1.3940243607612,-0.7074533215,35.550130290733,798.77,800,35.2,35.9
2016-09-08,26.59,27.1,26.59,27.1,0.1,+0.37%,0,121,20.78%,-0.4535105608,0.00536963022356,-0.2059291208,1.4070949550019,-0.754254,26.8001333439,805.22,800,26.5,27.1
2016-09-07,27,27,27,27,1.04,+4.01%,0,121,20.82%,-0.439230728,0.0052787250226726,-0.2045631699,1.4148299911768,-0.725903,25.850086891655,807.93,800,25.5,26.2
2016-09-06,28.45,28.45,25.2,25.96,-8.04,-23.65%,0,23,17.56%,-0.4945655133,0.0063618090235403,-0.1713406643,1.4242221771251,-0.736336,25.850078436772,798.39,800,25.5,26.2
2016-09-02,34,34,34,34,0,0.00%,0,23,19.15%,-0.5093673613,0.0057041039857401,-0.1811034118,1.4567390107897,-0.874937,30.400119051022,795.27,800,30,30.8
2016-09-01,34,34,34,34,0,0.00%,0,23,20.05%,-0.5248809498,0.0054259386946799,-0.1873193859,1.4576639338349,-0.935454,33.60010201059,791.98,800,33.3,33.9
2016-08-31,34,34,34,34,-0.31,-0.90%,0,20,19.81%,-0.5382225078,0.0054587678721896,-0.182861524,1.4586900820242,-0.961106,34.70007465797,789.6,800,34.4,35
2016-08-30,34.31,34.31,34.31,34.31,2.66,+8.40%,0,20,20.25%,-0.5187155373,0.0053029720685936,-0.1871880202,1.4791621332205,-0.954365,33.800145060908,792.88,800,33.4,34.2
2016-08-29,31.65,31.65,31.65,31.65,0,0.00%,0,20,18.94%,-0.5212176651,0.0056314258939111,-0.173984611,1.4882293501627,-0.931144,31.950074782823,793.05,800,31.6,32.3
2016-08-26,31.65,31.65,31.65,31.65,-2.96,-8.55%,0,20,19.53%,-0.5214795795,0.0053670030893419,-0.1760241512,1.5144151113365,-0.990601,33.64999999984,792.49,800,33.3,34
2016-08-25,34.61,34.61,34.61,34.61,3.21,+10.22%,0,10,20.06%,-0.5220913587,0.0051951093587436,-0.1796787727,1.522333165982,-1.020411,34.900124569988,792,800,34.6,35.2
2016-08-24,31.29,31.4,31.29,31.4,0,0.00%,0,10,21.00%,-0.4950596658,0.004911522858424,-0.1883922972,1.5429060177144,-1.010587,34.049888519203,796.86,800,33.6,34.5
2016-08-23,31.29,31.4,31.29,31.4,-2.2,-6.55%,0,3,21.21%,-0.4770484748,0.0048061476687328,-0.1897096864,1.5564393673806,-0.994204,32.800095824298,800.48,800,32.5,33.1
2016-08-22,32.6,33.6,32.6,33.6,0,0.00%,0,N/A,20.35%,-0.48751273,0.0049978461170811,-0.1807813195,1.563329128547,-1.002884,32.600093404811,798.51,800,32.1,33.1
