Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,45.93,45.93,45.93,45.93,4.07,+9.72%,0,947,315.01%,0.93960218850981,0.0034846191065573,-2.0874627919,0.013058186942978,0.0040810674514577,45.825,209.87,165,44.6,47.05
2016-11-17,41.04,42.16,41.04,41.86,0,0.00%,0,947,418.70%,0.87036291142636,0.0046706591159046,-4.7723355201,0.02279441429698,0.0036589178949537,44.499999999999,206.26,165,42.55,46.45
2016-11-16,41.04,42.16,41.04,41.86,-2.53,-5.70%,0,947,0.00%,0.990864,0.001237,-0.247258,0.002659,0.004467,41.262048,207.35,165,40.9,41.75
2016-11-15,40.88,44.39,40.88,44.39,-0.61,-1.36%,0,949,272.09%,0.84946006700384,0.0045865809722058,-1.9850220777,0.043764520650702,0.010413901762609,46.025003127227,206.56,165,45.6,46.45
2016-11-14,45.23,45.23,45,45,7.69,+20.61%,0,950,236.28%,0.8375788642373,0.0048656650780237,-1.5510691656,0.052506098072216,0.013640207965836,44.024999999998,204.15,165,43.45,44.6
2016-11-11,37.31,37.31,37.31,37.31,-0.22,-0.59%,0,953,174.96%,0.8102811427655,0.005643721027151,-0.9303851814,0.074422547782556,0.022923335295007,38.900006240203,198.25,165,37.45,40.35
2016-11-10,33.7,37.53,31.82,37.53,10.38,+38.23%,0,966,166.04%,0.78604692895988,0.0060927119924554,-0.8709203429,0.08389664953999,0.024992891788665,36.125003063771,194.53,165,34.7,37.55
2016-11-09,19.77,28.19,19.77,27.15,10.75,+65.55%,0,1011,141.19%,0.73467109898131,0.0079907176416651,-0.7469560971,0.09519502462901,0.026324138792896,27.450002204761,185,165,27.1,27.8
2016-11-08,15,16.4,15,16.4,0,0.00%,0,1011,56.83%,0.83615012201511,0.01458014860466,-0.2096863345,0.073645988292373,0.036698320393387,16.650006252089,180.11,165,15.75,17.55
2016-11-07,15,16.4,15,16.4,3.56,+27.73%,0,1250,66.12%,0.77849502714182,0.014464142166519,-0.2779130327,0.092345568687435,0.036937475603927,16.775007389496,179,165,16.65,16.9
2016-11-04,12.71,12.84,12.71,12.84,-0.48,-3.60%,0,1249,31.61%,0.86524085345183,0.019852816043935,-0.0849026297,0.074847049316793,0.053878116679229,12.100006799528,176.33,165,11.6,12.6
2016-11-03,13.32,13.32,13.32,13.32,0.88,+7.07%,0,1250,33.62%,0.85213224431779,0.019159499036033,-0.0930796761,0.082713719022028,0.056673885140412,12.724999999987,176.77,165,12.15,13.3
2016-11-02,12.8,12.8,12.41,12.44,-1.9,-13.25%,0,1251,31.54%,0.86490371559353,0.018563509109982,-0.0797714459,0.080482361046448,0.061478802298332,12.899999999965,177.07,165,12.35,13.45
