Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,0.01,0.01,0.01,0.01,-0.04,-80.00%,0,2856,152.52%,-0.0010570391,0.0002126861,-0.0299114682,0.0003865645,-0.0000058323,0.005000023150147,209.87,165,0,0.01
2016-11-17,0.01,0.08,0.01,0.05,0.04,+400.00%,0,2856,141.49%,-0.0011456189,0.0002493093,-0.0291449837,0.0004119896,-0.000006294,0.0050000387919841,206.26,165,0,0.01
2016-11-16,0.01,0.01,0.01,0.01,-0.01,-50.00%,0,2856,108.75%,-0.002003482,0.0003799549,-0.0265081132,0.0009751306,-0.000022153,0.010000032001032,207.35,165,0,0.02
2016-11-15,0.02,0.02,0.02,0.02,-0.01,-33.33%,0,2854,90.99%,-0.0028556016,0.0005129731,-0.0248602985,0.0016395147225382,-0.0000471847,0.015000083427761,206.56,165,0.01,0.02
2016-11-14,0.03,0.03,0.03,0.03,0,0.00%,0,2734,82.39%,-0.0060119647,0.0009664485,-0.0374949634,0.0036414152020517,-0.0001308972,0.035000131446712,204.15,165,0.02,0.05
2016-11-11,0.03,0.03,0.03,0.03,-0.01,-25.00%,0,2702,52.64%,-0.005316256,0.0010555438635638,-0.0157656288,0.0041940654947554,-0.0001959299,0.025000267054155,198.25,165,0.02,0.03
2016-11-10,0.05,0.06,0.03,0.04,-0.01,-20.00%,0,2713,52.45%,-0.0154056684,0.0025637285644352,-0.036574187,0.011162022445407,-0.0006360988,0.084999999995078,194.53,165,0.02,0.15
2016-11-09,0.35,0.42,0.03,0.05,-0.22,-81.48%,0,2743,32.65%,-0.0119891419,0.0032877972417056,-0.016441304,0.0090686466951772,-0.0005252636,0.040000855339308,185,165,0,0.08
2016-11-08,0.45,0.5,0.27,0.27,-0.09,-25.00%,0,2745,34.61%,-0.0594963768,0.01146726607456,-0.0610088456,0.03528226645507,-0.0028054547,0.27000260133373,180.11,165,0.2,0.34
2016-11-07,0.4,0.4,0.33,0.36,-0.64,-64.00%,0,2736,33.03%,-0.0735717571,0.013587260940212,-0.0650350445,0.043349122214538,-0.0037874669,0.34500423675348,179,165,0.32,0.37
2016-11-04,1.19,1.19,0.79,1,0.11,+12.36%,0,2735,34.01%,-0.1512031818,0.019959527115086,-0.098217325,0.080946838709941,-0.0097452933,0.95000313182662,176.33,165,0.89,1.01
2016-11-03,0.73,0.89,0.7,0.89,0.06,+7.23%,0,2735,34.36%,-0.1527180108,0.019162399421171,-0.0967521979,0.084554820844055,-0.0105876929,1.009999999738,176.77,165,0.95,1.07
2016-11-02,0.83,0.95,0.8,0.83,0.12,+16.90%,0,2836,31.71%,-0.1361907717,0.01857994279464,-0.0801505506,0.08097754956469,-0.0100822877,0.83500729047025,177.07,165,0.8,0.87
2016-11-01,0.48,0.92,0.48,0.71,0.18,+33.96%,0,2907,32.03%,-0.1123874156,0.015433323513538,-0.0694018468,0.073765299605033,-0.0089622051,0.69500292474171,179,165,0.66,0.73
2016-10-31,0.7,0.7,0.52,0.53,-0.2,-27.40%,0,2883,26.64%,-0.0999592784,0.016691798073691,-0.0511973282,0.069227851054115,-0.0083464093,0.51000553848935,177.68,165,0.48,0.54
2016-10-28,0.6,0.91,0.6,0.73,0.27,+58.70%,0,2579,27.84%,-0.1125321059,0.016032687076694,-0.0541697596,0.081835674307595,-0.0110424944,0.67000615495558,178.51,165,0.63,0.71
2016-10-27,0.58,0.64,0.46,0.46,-0.14,-23.33%,0,2559,24.37%,-0.0939237413,0.015721742904115,-0.0405399218,0.073323387748917,-0.0096203812,0.48000645490486,178.19,165,0.46,0.5
2016-10-26,0.75,0.87,0.54,0.6,-0.12,-16.67%,0,2483,20.67%,-0.1274788069,0.023007273366203,-0.0410667617,0.091564874165687,-0.0133050871,0.59000615288101,174.79,165,0.56,0.62
