Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,23.4,23.42,22.98,23.3,-0.13,-0.55%,0,700,100.81%,0.96273295877079,0.0058979779868515,-0.5696240989,0.011122308384055,0.0062095529368828,23.350000378142,263.14,240,22.6,24.1
2016-11-17,23.43,23.43,23.43,23.43,0.71,+3.13%,0,700,0.00%,0.968363,0.005343,-0.475725,0.009798,0.006342,23.282762,263.5,240,22.2,24.7
2016-11-16,26.3,26.3,22.72,22.72,-3.02,-11.73%,0,702,0.00%,0.964521,0.005686,-0.539684,0.010771,0.006314,23.352979,265.87,240,22.9,24.2
2016-11-15,23.9,25.74,23.9,25.74,-1.15,-4.28%,0,703,0.00%,1,0,-0.003209,0,0.006575,25.933209,268.79,240,25.3,26.3
2016-11-14,22.2,26.89,22.2,26.89,8.11,+43.18%,0,721,139.63%,0.74315482945918,0.0084416459038512,-1.5387273437,0.088135709223277,0.018226651754279,27.600006120734,261.23,240,27,28.2
2016-11-11,16.8,19.7,16.56,18.78,1.78,+10.47%,0,722,46.23%,0.87686753446944,0.012328889330614,-0.2408818584,0.072747504417365,0.039736371591533,19.000003488741,257.96,240,18.3,19.7
2016-11-10,15.39,18.3,13.21,17,1.5,+9.68%,0,740,0.00%,1,0,-0.003011,0,0.039449,17.549109,257.5,240,16.4,17.9
2016-11-09,15.38,15.9,12.42,15.5,12.83,+480.52%,0,814,0.00%,0.867124,0.016867,-0.197684,0.075383,0.039398,14.186392,256.59,240,13.5,15.2
2016-11-08,3.2,4.09,2.67,2.67,-0.4,-13.03%,0,693,19.74%,0.45596964262544,0.05078474535176,-0.1551092795,0.1568387941999,0.029130610996579,2.6500145003612,239,240,2.45,2.85
2016-11-07,3.1,3.26,2.55,3.07,0.67,+27.92%,0,691,18.69%,0.49815418364918,0.051268818064087,-0.1414494266,0.16607290526386,0.035093832847851,3.0249999999974,239.83,240,2.85,3.2
2016-11-04,3.38,3.5,2.4,2.4,-1.1,-31.43%,0,666,15.29%,0.44265174150392,0.055218154843614,-0.1010979793,0.18465968301658,0.039661174561223,2.3250175849748,238.85,240,2.2,2.45
2016-11-03,3.5,3.7,2.75,3.5,-3.6,-50.70%,0,711,9.45%,0.713452414617,0.073241272149612,-0.0531980173,0.16731437571612,0.069718385470319,3.4000144882575,242.55,240,3.2,3.6
