Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2020-11-20,0.08,0.1,0.01,0.03,-0.03,-50.00%,1804,6691,26.09%,-0.0273576673,0.022085532259443,-0.0912084281,0.0068904370914614,-0.0001562062,0.030000566248336,210.39,205,0,0.01
2020-11-19,0.23,0.35,0.05,0.06,-0.23,-79.31%,2236,7050,37.86%,-0.0356341042,0.018618068785453,-0.1651018405,0.0087199967328028,-0.0002090179,0.060000446291785,212.42,205,0.06,0.13
2020-11-18,0.3,0.35,0.14,0.29,0.01,+3.57%,2158,6791,33.09%,-0.1140273115,0.037310475092499,-0.249437697,0.030146411501424,-0.0013347006,0.29000157221048,211.08,205,0.27,0.35
2020-11-17,0.21,0.43,0.17,0.28,0.07,+33.33%,2151,6274,36.64%,-0.0846153008,0.021765677938754,-0.1841660471,0.030153963389176,-0.0015144748,0.28000218412848,214.46,205,0.26,0.3
2020-11-16,0.61,0.7,0.21,0.21,-0.38,-64.41%,1071,6184,35.85%,-0.0590785879,0.01443047640907,-0.1199714882,0.026765349064811,-0.0014293933,0.21000112122279,217.23,205,0.15,0.22
2020-11-13,0.72,0.93,0.49,0.59,-0.41,-41.00%,1921,6105,33.77%,-0.1167407965,0.019375343615903,-0.1419200004,0.058824367477077,-0.0049603379,0.59000521865783,216.51,205,0.53,0.61
2020-11-12,0.79,1.2,0.62,1,0.08,+8.70%,1007,6085,35.24%,-0.1640082337,0.021999919846304,-0.1737466985,0.078865344919943,-0.0079633421,1.0000069549775,215.44,205,0.88,1.09
2020-11-11,1.91,2.17,0.8,0.92,-1.6,-63.49%,1271,5908,34.37%,-0.1486134096,0.019825037001136,-0.1505087476,0.078794146899144,-0.0081618959,0.92000670646137,216.55,205,0.84,0.99
2020-11-10,1.25,2.99,1.11,2.52,1.47,+140.00%,2595,5806,36.08%,-0.3038034202,0.027748066829313,-0.2204291709,0.1221196372497,-0.0182530866,2.5200098045616,211.01,205,2.42,2.72
2020-11-09,1.34,1.34,0.37,1.05,0.3,+40.00%,1679,5800,35.70%,-0.1464548792,0.016952196629398,-0.1412172396,0.086993401634935,-0.0099551486,1.0500042204709,218.39,205,0.85,1.23
2020-11-06,1.2,1.82,0.75,0.75,-0.36,-32.43%,1201,5715,35.60%,-0.0988415282,0.011155617274903,-0.0969598084,0.076245254346389,-0.0087688703,0.75000373283255,223.72,205,0.71,0.86
2020-11-05,1.24,1.77,1.09,1.11,-1.33,-54.51%,1239,5657,38.00%,-0.1255167421,0.01200201117679,-0.1184020815,0.093450945536549,-0.0119734225,1.1099999999972,223.29,205,1.11,1.31
2020-11-04,3.95,3.95,1.85,2.44,-3.86,-61.27%,2434,5510,37.73%,-0.2345775212,0.017961375998041,-0.164050986,0.13907937493528,-0.0233197883,2.4400114017315,216.39,205,2.27,2.53
2020-11-03,8.35,8.35,5.56,6.3,-2.74,-30.31%,612,5545,39.48%,-0.4506847131,0.022513626949514,-0.2049009231,0.17635067190758,-0.0462643989,6.3000100126218,206.43,205,6.2,6.55
2020-11-02,8,10.31,7.51,9.04,-0.03,-0.33%,1092,5627,42.29%,-0.5370129796,0.020905866469187,-0.2098216494,0.178453742776,-0.058039617,9.0400100547135,202.33,205,8.55,9.75
2020-10-30,8.49,11.45,8.49,9.07,1.34,+17.34%,1332,5479,39.70%,-0.5331259811,0.020624129189538,-0.1826349903,0.19304899746824,-0.0673203948,9.0700092559717,202.47,205,8.8,9.45
2020-10-29,8.99,9.26,6.85,7.73,-2.28,-22.78%,697,5484,40.79%,-0.4855871181,0.019448001145054,-0.18589818,0.20035054513124,-0.0649341304,8.3250146808659,204.72,205,8.1,8.55
