Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,121.4,121.4,112.26,115.5,-17.15,-12.93%,33,645,168.57%,0.96602713341629,0.0010443177154715,-2.8508892951,0.032287918724609,0.018249779029134,120.05000318066,823.96,705,117.3,120.05
2024-11-14,132.09,132.65,132.09,132.65,4.58,+3.58%,2,645,149.62%,0.98732734403993,0.0004990433,-1.1656258184,0.01435396046857,0.019013688941527,132.65,837.26,705,132.1,133.5
2024-11-13,124.3,128.07,120.54,128.07,19.86,+18.35%,3,647,147.24%,0.94059020158791,0.0013055584948425,-2.7615593553,0.072672214980786,0.035784221276458,128.07000390943,830.47,705,125.35,128.4
2024-11-12,108.2,108.21,105.45,108.21,7.7,+7.66%,63,650,84.09%,0.9781682133814,0.0008342183,-0.6338999525,0.038750360926573,0.056408944458042,115.3,819.5,705,114.4,116.2
2024-11-11,92.49,100.51,92.49,100.51,13.32,+15.28%,4,652,77.13%,0.95510618516966,0.0014542632630969,-0.8574635913,0.079780148640817,0.073121195475778,102.05000518004,805.44,705,100,102.05
2024-11-08,89.45,89.45,87.19,87.19,-5.51,-5.94%,5,655,54.08%,0.9624156737794,0.0014851726098298,-0.4655190357,0.083506512368161,0.110746719254,91.45000795143,795.04,705,87.95,91.45
2024-11-07,78.77,92.7,78.77,92.7,15.7,+20.39%,47,680,41.95%,0.97797265897213,0.0010614453205552,-0.2533025213,0.061970953517937,0.15042068270787,92.699999999977,796.54,705,89.5,93.8
2024-11-06,68.28,77,60.94,77,15.01,+24.21%,66,725,39.58%,0.95363040385338,0.0020016570564799,-0.3498916251,0.11897495800969,0.16447381839271,77.000006897471,780.21,705,75.35,77.8
2024-11-05,63.15,64.2,61.99,61.99,4.97,+8.72%,11,725,38.16%,0.9070950219534,0.0034449860029574,-0.4846585086,0.21023652551295,0.17286326476977,61.990004896371,763.91,705,60.3,63.7
2024-11-04,56.47,58.75,56.47,57.02,2.07,+3.77%,8,726,34.04%,0.88975192071581,0.0042180940375517,-0.4640408501,0.24703047219219,0.1863201806124,53.975020565387,755.51,705,53.1,54.85
2024-11-01,56.05,58.55,54.95,54.95,-0.8,-1.43%,7,728,32.37%,0.88574938148327,0.0041822738123331,-0.4246068288,0.27569704024203,0.21895858665886,54.950013634487,756.1,705,54.35,55.35
2024-10-31,55.5,55.94,54.53,55.75,0.23,+0.41%,59,775,32.39%,0.87020744378376,0.0042561157926754,-0.4293886072,0.32387205931666,0.24746170978034,55.750028880453,756.0301,705,54.65,57.1
2024-10-30,54.95,55.53,54.95,55.52,-5.77,-9.41%,9,777,31.59%,0.8590512763425,0.0044857557930045,-0.4268485747,0.35287061533397,0.26019974421132,53.924999999532,753.74,705,52.75,55.1
2024-10-29,60.14,61.29,60.14,61.29,9.79,+19.01%,5,777,30.57%,0.8838667825569,0.0039004317042421,-0.3690995169,0.32036472616445,0.28517973280699,58.950012774634,759.44,705,58,59.9
2024-10-28,52,52.85,51.5,51.5,-5.81,-10.14%,27,785,28.12%,0.85118533273427,0.0049577569047938,-0.3792101301,0.38583380866611,0.29004433090947,49.499999999978,749.12,705,48,51
2024-10-25,56.05,66.3,56.05,57.31,2.41,+4.39%,14,791,30.44%,0.8481693168746,0.004371259345093,-0.3932790122,0.41523736411643,0.32009681179801,55.925022900241,754.68,705,55.15,56.7
