Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,0.01,0.02,0.01,0.01,-0.02,-66.67%,28,412,96.63%,-0.0008688572,0.0000714146,-0.0620544315,0.0012676479051115,-0.0000186793,0.010000087578285,823.96,705,0,0.02
2024-11-14,0.09,0.09,0.03,0.03,-0.06,-66.67%,11,412,115.36%,-0.001996127,0.0001250242,-0.1598465056,0.0027749414675171,-0.0000443056,0.030000246435919,837.26,705,0.01,0.14
2024-11-13,0.08,0.09,0.08,0.09,0,0.00%,3,415,87.51%,-0.0051687258,0.0002765944,-0.1998155456,0.0091588654858999,-0.0002274346,0.090000567102745,830.47,705,0.04,0.15
2024-11-12,0.09,0.09,0.07,0.09,-0.06,-40.00%,14,422,66.39%,-0.0056016901,0.0003240528,-0.1309658193,0.011889598750242,-0.0003642587,0.090000969920217,819.5,705,0.05,0.15
2024-11-11,0.61,0.61,0.05,0.15,0.01,+7.14%,66,476,55.04%,-0.0094184423,0.0005446543,-0.1457956552,0.02133244134466,-0.0008008071,0.14999999980425,805.44,705,0.06,0.34
2024-11-08,0.2,0.2,0.1,0.14,-0.05,-26.32%,51,510,40.85%,-0.0097746409,0.0006270707,-0.0897009119,0.026639843802313,-0.0012283151,0.14000242087396,795.04,705,0.05,0.18
2024-11-07,0.42,0.42,0.17,0.19,-0.33,-63.46%,144,579,35.04%,-0.0082412095,0.0005442086,-0.0572875357,0.026540474358836,-0.0013839897,0.11500260363138,796.54,705,0.06,0.17
2024-11-06,0.67,1.09,0.37,0.52,-0.79,-60.31%,120,623,33.78%,-0.0250931903,0.0014166260752288,-0.1323345346,0.07184064998126,-0.0046257369,0.40000439084188,780.21,705,0.3,0.5
2024-11-05,1.65,1.65,1.11,1.31,-0.34,-20.61%,50,611,33.70%,-0.0683021682,0.0030938830494754,-0.2741303197,0.16660275485308,-0.0136145442,1.3100083851345,763.91,705,1.19,1.4
2024-11-04,2.57,2.57,1.45,1.65,-0.59,-26.34%,105,541,32.43%,-0.1001506231,0.0041336901365202,-0.3302313423,0.23043860667877,-0.0216504109,2.0650163061375,755.51,705,1.87,2.26
2024-11-01,2.95,2.95,2.08,2.24,-0.76,-25.33%,32,533,30.84%,-0.1041186428,0.004112059644458,-0.2959968853,0.25788531099851,-0.0265600768,2.2400169441185,756.1,705,1.96,2.36
2024-10-31,2.85,3.2,2.5,3,0.5,+20.00%,48,511,31.33%,-0.1229556159,0.004254273772876,-0.3140532598,0.31187023639149,-0.036210505,2.999999999989,756.0301,705,2.66,3.95
2024-10-30,2.95,2.95,2.43,2.5,-0.12,-4.58%,20,501,29.09%,-0.1231422673,0.0044439062261569,-0.2806348464,0.32146373455143,-0.038519309,2.8700263945277,753.74,705,2.78,2.96
2024-10-29,3.43,3.77,2.62,2.62,-1.48,-36.10%,68,459,29.55%,-0.109278188,0.0038700617532969,-0.2561473623,0.30672640998137,-0.036687659,2.6200243018125,759.44,705,2.43,2.96
2024-10-28,4.1,4.12,3.67,4.1,0.68,+19.88%,16,455,29.07%,-0.1573211634,0.0049867612504538,-0.3085385028,0.40024713627767,-0.0546659151,4.1000274149291,749.12,705,3.95,4.25
2024-10-25,3.95,3.95,2.5,3.42,-0.58,-14.50%,88,419,29.19%,-0.14335453,0.0043951808213997,-0.2780608187,0.39949468737199,-0.0559318029,3.900035318566,754.68,705,3.65,4.15
2024-10-24,4.9,5.05,4,4,-1.25,-23.81%,6,418,28.09%,-0.1452311131,0.0043950296739485,-0.2561441027,0.42260415616252,-0.0622939718,4.0000171584039,754.55,705,3.9,4.15
2024-10-23,3.9,6,3.8,5.25,1.77,+50.86%,31,392,28.39%,-0.1765630865,0.004868613236189,-0.2843605351,0.48750494622053,-0.0785009044,5.2500170865417,749.29,705,5.1,5.3
2024-10-22,3.55,3.8,3.2,3.48,0.41,+13.36%,97,364,28.79%,-0.1212937222,0.0035801095686541,-0.2252648158,0.39493323723099,-0.0577736837,3.480034395313,764.24,705,3.35,3.5
2024-10-21,4.17,4.78,3.03,3.07,-1.33,-30.23%,72,341,29.47%,-0.1045714072,0.003050640290054,-0.2056857038,0.36631413752015,-0.0527640261,3.0700147206426,772.07,705,3,3.15
2024-10-18,12.75,12.75,4.05,4.4,-35.76,-89.04%,243,257,29.22%,-0.1379903557,0.0036392290414362,-0.2345312921,0.45782458480556,-0.0739578965,4.4000181654203,763.89,705,3.85,4.45
2024-10-17,41.55,41.55,36.28,40.16,5.92,+17.29%,44,256,41.03%,-0.5538658149,0.0050163564248515,-0.4959691263,0.76519219442533,-0.271225727,40.159999999996,687.65,705,38.9,43.35
2024-10-16,35.15,36.95,33.64,34.24,0.24,+0.71%,32,260,43.14%,-0.4794275796,0.0046211866094695,-0.5337602141,0.80104192698675,-0.2550406044,34.899999999994,702,705,34.6,35.2
2024-10-15,32,34.87,30.92,34,4.33,+14.59%,79,253,42.98%,-0.4606620936,0.0045209009835675,-0.5247134898,0.81598541985449,-0.2553587254,33.424999999991,705.98,705,33.1,33.75
2024-10-14,27.75,30.53,26.6,29.67,2.98,+11.17%,34,235,42.32%,-0.428802773,0.0044222840997622,-0.5087308546,0.82808459867716,-0.2497730357,30.275040515521,713,705,29.9,30.65
2024-10-11,23.85,26.69,23.85,26.69,1.96,+7.93%,9,230,41.60%,-0.3865908241,0.0041948173821791,-0.4807784717,0.84352902882679,-0.2435516531,26.690000144659,722.79,705,26.4,27.6
2024-10-10,25,25,24.73,24.73,-1.92,-7.20%,3,230,42.08%,-0.3585941743,0.003892879573894,-0.4670576549,0.85616781631171,-0.2433436447,25.250059705829,730.29,705,25,25.5
2024-10-09,28.64,28.7,26.55,26.65,-3.83,-12.57%,17,230,41.98%,-0.3701755317,0.0039069376350406,-0.4609201522,0.8738816555801,-0.2572575638,26.649999999976,727.43,705,26.45,27.1
2024-10-08,34.4,34.4,30.09,30.48,-9.11,-23.01%,19,241,42.21%,-0.3933474595,0.0039380269828694,-0.4602944434,0.89489956238158,-0.2781921901,29.475,721.76,705,29.15,29.8
2024-10-07,39.11,39.59,34.95,39.59,9.9,+33.34%,58,228,42.12%,-0.4741191963,0.0041560856498305,-0.4503904612,0.9121002837523,-0.3277985706,38.449999999996,701.92,705,38.15,38.75
2024-10-04,33.5,33.5,29.69,29.69,-7.02,-19.12%,18,226,40.07%,-0.4003016606,0.0040267530396894,-0.4187936875,0.93114350522568,-0.302858019,29.689999999998,719.7,705,29.55,30.55
2024-10-03,36.55,38.44,36.2,36.71,2.71,+7.97%,14,225,39.99%,-0.4530649569,0.0041199958057932,-0.4066188516,0.95970331948362,-0.3483000532,35.949999999965,706.8,705,35.65,36.25
2024-10-02,35.12,35.12,33.6,34,-0.82,-2.35%,4,225,39.53%,-0.435078419,0.0040677328306355,-0.397452877,0.97062490827116,-0.3463207833,34.000053252825,711.0901,705,33.9,36.05
2024-10-01,32.36,39.93,31.66,34.82,-1.08,-3.01%,37,219,39.07%,-0.4553125749,0.0059047875091669,-0.3862309662,0.98146999454528,-0.3632252338,36.150052043921,706.13,705,35.95,36.35
2024-09-30,35.1,36.75,35.1,35.9,1.07,+3.07%,27,213,38.41%,-0.4420163694,0.0041189295795109,-0.375509323,0.99241161315201,-0.3649138574,34.475071818086,709.27,705,33.95,35
2024-09-27,36,36.05,33.95,34.83,1.5,+4.50%,7,209,37.73%,-0.4499724876,0.0041308052228025,-0.3601949448,1.0130875832785,-0.3808250962,35.4249399786,707.35,705,35.25,35.6
2024-09-26,29.49,37.25,29.49,33.33,2.78,+9.10%,16,203,36.76%,-0.432570993,0.0041041257732249,-0.3429899906,1.0331503929292,-0.3839072474,33.330066013296,711.43,705,32.5,33.5
2024-09-25,29,30.55,28.95,30.55,0.1,+0.33%,8,197,36.88%,-0.3915390656,0.003894522739629,-0.3389906257,1.0346156266617,-0.3679238226,29.599999999994,721.56,705,29.35,29.85
2024-09-24,34.8,34.8,30.1,30.45,-4.88,-13.81%,77,182,37.64%,-0.3901763045,0.0037721074864587,-0.3429182693,1.0446919776869,-0.3752775993,30.449999999995,722.26,705,28.35,30.6
2024-09-23,37.45,37.45,35.18,35.33,-3.67,-9.41%,9,182,35.86%,-0.456646102,0.0041616718217315,-0.3208776251,1.0635068240649,-0.4239312074,36.05,705.37,705,35.8,36.3
2024-09-20,39,39.6,38.2,39,1.5,+4.00%,36,156,36.14%,-0.4737140575,0.0040985918097176,-0.3150204656,1.080436604553,-0.4511195386,38.999999999998,701.0301,705,38.65,39.3
2024-09-19,40,40,34.77,37.5,-7.3,-16.29%,21,146,36.24%,-0.4585337133,0.0039844293153392,-0.3089299651,1.1014494382692,-0.4563088519,38.074999999985,704.32,705,37.75,38.4
2024-09-18,42,45.6,42,44.8,5.57,+14.20%,5,145,36.64%,-0.5135916386,0.0040156407674028,-0.3010742367,1.0933927216734,-0.4987889856,45.550068132399,690.47,705,45.1,46
2024-09-17,38.3,41.35,37.95,39.23,0,0.00%,22,136,36.96%,-0.4475119962,0.0038121412822221,-0.3105860893,1.1209994094287,-0.4648467382,38.324999997491,706.91,705,38.1,38.55
2024-09-16,39.23,39.23,39.23,39.23,0,0.00%,0,136,36.48%,-0.4877676677,0.0039262247571311,-0.2980659564,1.1230153972731,-0.5045613715,42.95005362537,696.5,705,42.65,43.25
2024-09-13,43.53,43.53,43,43.35,0,0.00%,19,125,35.96%,-0.4845014262,0.0038884335073545,-0.2847732742,1.1500927971729,-0.5188205542,42.899999999994,697.06,705,42.65,43.15
2024-09-12,43.35,43.35,43.35,43.35,0,0.00%,0,125,35.67%,-0.5247990231,0.0039508376657516,-0.2719381081,1.140450322209,-0.5565276271,48.025048966608,686.8,705,47.1,48.95
2024-09-11,43.35,43.35,43.35,43.35,0,0.00%,0,125,35.83%,-0.5446997088,0.0039213817139629,-0.2659055787,1.1350080383996,-0.578007473,51.325088641088,681.47,705,47.8,54.85
2024-09-10,43.35,43.35,43.35,43.35,0,0.00%,0,125,36.65%,-0.5722042495,0.0038171732923981,-0.2625737193,1.117249357739,-0.5958946931,56.9001087578,673.62,705,56,57.8
2024-09-09,53.97,56.45,53.93,54.75,-4.5,-7.59%,7,125,36.62%,-0.5642843686,0.0037944321802173,-0.2622789164,1.1325331745075,-0.5991776304,56.100081308646,675.42,705,55.1,57.1
2024-09-06,59.25,59.25,59.25,59.25,8.17,+15.99%,2,125,36.71%,-0.5969802373,0.003703831492359,-0.2451289621,1.1209249692865,-0.644062975,62.550062573707,665.77,705,61.6,63.5
2024-09-05,51.75,52.9,51.08,51.08,-1.32,-2.52%,4,122,35.34%,-0.5322880999,0.0038097483078305,-0.2503075421,1.1918542908337,-0.611027654,51.079999999999,683.62,705,49,52.25
2024-09-04,52.55,52.55,52.4,52.4,0.3,+0.58%,6,120,35.67%,-0.5455868369,0.0037605055715536,-0.2475765665,1.1890488966089,-0.6287530573,53.849926242732,679.68,705,52.55,55.15
2024-09-03,47.95,52.95,47.95,52.1,7.96,+18.03%,71,140,35.56%,-0.5613788379,0.0037554357913352,-0.2400199732,1.1831399717016,-0.6493135956,56.350071338567,675.32,705,54.95,57.75
2024-08-30,43.8,44.91,43.73,44.14,1.09,+2.53%,91,71,33.74%,-0.4627955238,0.0037213147662061,-0.2358657849,1.2739708785428,-0.6093584376,41.69999999999,701.35,705,41.2,42.2
2024-08-29,45,45,43.05,43.05,-10.7,-19.91%,6,70,33.89%,-0.4962773372,0.0037541469729413,-0.2311052626,1.2692151617409,-0.6368572215,46.37499999999,692.48,705,46.15,46.6
2024-08-28,52.06,53.75,52.06,53.75,9.02,+20.17%,2,70,33.86%,-0.528385287,0.0037789581663525,-0.222840628,1.2580873474126,-0.673384665,50.975066184762,683.84,705,50,51.95
2024-08-27,45.6,45.6,40.72,44.73,-4.52,-9.18%,8,67,33.82%,-0.4823011547,0.0036907253951859,-0.2283001609,1.2917157954835,-0.6492560762,45.124999999996,695.72,705,44.85,45.4
2024-08-26,48.35,49.25,48.35,49.25,-3.15,-6.01%,11,56,33.59%,-0.5101391521,0.0037434251366309,-0.2207403504,1.2851232783782,-0.6726809645,48.675126012121,688.44,705,48.3,49.05
2024-08-23,47.05,52.4,47.05,52.4,4.35,+9.05%,5,51,33.87%,-0.5136862936,0.0036559922929228,-0.2168652783,1.3051704030875,-0.7027671586,50.550010921232,686.73,705,49.65,51.45
2024-08-22,46.8,49.2,46.55,48.05,1.85,+4.00%,6,49,34.06%,-0.5044622584,0.0053393469650916,-0.218289696,1.3177556850682,-0.702242886,49.87501409091,688.96,705,49.6,50.15
2024-08-21,47.02,47.12,46.2,46.2,0.99,+2.19%,116,19,33.66%,-0.4748565227,0.0081476820050993,-0.2181367069,1.3392464525389,-0.6814246848,45.575074339112,697.12,705,45.15,46
2024-08-20,42.8,45.95,42.8,45.21,0,0.00%,49,N/A,33.73%,-0.4690859965,0.0048073557538423,-0.2177187725,1.3486417732171,-0.6872978789,45.209889240139,698.54,705,44.95,45.6
"Downloaded from Barchart.com as of 01-10-2026 05:58am CST"
