Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2020-11-20,0.01,0.01,0.01,0.01,0,0.00%,19,4880,65.46%,0.015031179831866,0.020010454804601,-0.0364689257,0.0010982857231132,0.0000210706,0.010000067992299,55.7,60,0,0.01
2020-11-19,0.01,0.02,0.01,0.01,0,0.00%,65,4930,54.76%,0.017283019460711,0.026407585821533,-0.0345944658,0.0012636830213,0.0000249354,0.010000116369522,56.45,60,0,0.01
2020-11-18,0.03,0.03,0.01,0.01,-0.02,-66.67%,133,4937,40.66%,0.016605327677078,0.024390903695673,-0.0174860768,0.0017209174231047,0.0000477364,0.010000144650671,56.25,60,0.01,0.02
2020-11-17,0.03,0.06,0.02,0.03,0.01,+50.00%,155,4965,31.73%,0.044892270920803,0.057562256354284,-0.02589017,0.0048996396506656,0.0001949964,0.030000392566873,57.12,60,0.03,0.04
2020-11-16,0.05,0.05,0.02,0.02,-0.05,-71.43%,97,4986,25.28%,0.033864555775485,0.049706782851545,-0.0142053198,0.0044999282487757,0.0001969485,0.020000404136171,57.15,60,0.02,0.03
2020-11-13,0.07,0.09,0.05,0.07,0,0.00%,176,5006,26.35%,0.07610185803828,0.068899185571857,-0.0212085815,0.011281598663997,0.0007611891,0.070000688163985,56.91,60,0.05,0.09
2020-11-12,0.1,0.1,0.04,0.07,-0.08,-53.33%,242,5100,27.54%,0.069854070377219,0.058230895030623,-0.0192577777,0.01120384277371,0.0007915869,0.070000628821999,56.45,60,0.05,0.1
2020-11-11,0.13,0.19,0.13,0.15,0.01,+7.14%,1025,5496,26.43%,0.12870509896946,0.088507909171684,-0.0276532826,0.018869623875096,0.0016454078100747,0.1499999999957,57.2,60,0.12,0.18
2020-11-10,0.15,0.15,0.09,0.14,-0.02,-12.50%,281,5509,27.92%,0.11234465961911,0.072892783182956,-0.024952324,0.017906578434438,0.0015817294819948,0.14000044804424,56.67,60,0.11,0.15
2020-11-09,0.46,0.66,0.16,0.16,-0.02,-11.11%,466,5528,26.61%,0.12511907111605,0.078443010796405,-0.0245390939,0.020326027246713,0.0019395637834207,0.15999999999082,56.84,60,0.12,0.2
2020-11-06,0.15,0.2,0.15,0.18,-0.04,-18.18%,63,5547,24.67%,0.13299549786121,0.078307667622326,-0.0210109936,0.023905280249978,0.002616202009853,0.17999999999359,56.8,60,0.15,0.24
2020-11-05,0.38,0.38,0.21,0.22,-0.08,-26.67%,176,5511,26.17%,0.14565067209152,0.076062233251387,-0.0228475878,0.026257977994304,0.0030493091731809,0.21999999999882,56.66,60,0.21,0.25
2020-11-04,0.76,0.76,0.3,0.3,-0.24,-44.44%,352,5448,29.09%,0.16818291029604,0.073057590858336,-0.0269514366,0.029722303073525,0.0037171393565405,0.30000143912299,56.49,60,0.27,0.33
2020-11-03,0.52,0.62,0.5,0.54,0.02,+3.85%,215,5493,33.39%,0.23382465257574,0.074880768058598,-0.0367991465,0.037562166430328,0.0054333255169792,0.54000011323898,56.8,60,0.49,0.55
2020-11-02,0.5,0.61,0.48,0.52,0.12,+30.00%,365,5444,34.02%,0.22026493819955,0.069483897681921,-0.0350137681,0.037140572003667,0.005387326890427,0.52000259375763,56.45,60,0.48,0.55
2020-10-30,0.44,0.48,0.35,0.4,-0.04,-9.09%,90,5412,32.06%,0.20178325228309,0.065235836210559,-0.0288355336,0.037877516791799,0.0057360663034411,0.47000375012296,56.11,60,0.41,0.53
2020-10-29,0.35,0.55,0.35,0.44,0.04,+10.00%,126,5321,31.00%,0.19330237495627,0.064317674989621,-0.0265020056,0.03771485054706,0.0057576082512056,0.44000366955762,56.02,60,0.4,0.45
2020-10-28,0.4,0.5,0.37,0.4,-0.23,-36.51%,1254,5397,31.38%,0.17565908023745,0.059013869020757,-0.0245264361,0.036054600443163,0.0054371254338215,0.40000243020621,55.59,60,0.37,0.44
2020-10-27,0.83,0.84,0.63,0.63,-0.07,-10.00%,318,5358,28.57%,0.25892588683625,0.077407370014415,-0.0280992449,0.047369222119948,0.0084951257102728,0.63000273856047,57.08,60,0.61,0.65
2020-10-26,0.97,0.97,0.55,0.7,-0.98,-58.33%,2529,3564,27.16%,0.28500439395253,0.083084548259861,-0.0276401167,0.051073955428516,0.0097813162430072,0.70000370195702,57.49,60,0.7,0.76
2020-10-23,1.74,1.85,1.62,1.68,-0.02,-1.18%,112,3539,26.19%,0.50433953070511,0.09182550894234,-0.030766559,0.066164700661571,0.019412303798094,1.6799999999979,59.9,60,1.65,1.71
2020-10-22,1.8,1.8,1.3,1.7,-0.1,-5.56%,175,3566,27.59%,0.48799501405839,0.08593262412107,-0.0317277962,0.067073505861653,0.019375770470265,1.7000052795689,59.69,60,1.64,1.74
2020-10-21,1.91,2,1.57,1.8,-0.1,-5.26%,336,3382,28.74%,0.48877056776182,0.081135723065766,-0.032483858,0.068200611804002,0.019998977357005,1.800005000867,59.67,60,1.72,1.86
2020-10-20,1.8,2.09,1.8,1.9,0.14,+7.95%,82,3373,28.36%,0.49533905388969,0.080814671785688,-0.0315740036,0.069442896206966,0.020939971319067,1.8450051554397,59.75,60,1.81,1.88
2020-10-19,2.12,2.12,1.76,1.76,-0.42,-19.27%,271,3370,27.61%,0.48430111422011,0.081820732246096,-0.0301704883,0.07035081450265,0.021146793117532,1.7600056614839,59.62,60,1.64,1.85
2020-10-16,2.35,2.57,2.18,2.18,-0.04,-1.80%,896,3127,27.45%,0.53850707902549,0.077520185874583,-0.0288628151,0.074106898646614,0.025593641195254,2.1800039278805,60.29,60,2.03,2.19
2020-10-15,2.27,2.27,2.03,2.22,-0.46,-17.16%,87,3080,25.91%,0.55729799648346,0.080182983481161,-0.0268087163,0.075013227069281,0.027308764200118,2.2200069625891,60.52,60,2.11,2.3
2020-10-14,2.68,2.92,2.6,2.68,-0.07,-2.55%,52,3055,28.31%,0.58659389389247,0.070913628696129,-0.0287083926,0.075566685505944,0.029299849988318,2.68000634785,60.96,60,2.52,2.69
2020-10-13,3.01,3.01,2.6,2.75,-0.14,-4.84%,45,3054,27.47%,0.58810274921686,0.072035188457441,-0.0274542587,0.076527262096053,0.030187506151247,2.6500037997098,60.97,60,2.58,2.72
2020-10-12,2.97,3.15,2.74,2.89,0.16,+5.86%,286,3119,26.37%,0.62531287671698,0.071583083924151,-0.0255246155,0.07612282153201,0.032954692285125,2.8900000448113,61.46,60,2.65,2.93
2020-10-09,3.05,3.1,2.73,2.73,-0.11,-3.87%,128,3157,25.80%,0.60177244548133,0.072132974633218,-0.024368491,0.08000637044871,0.034154644446494,2.7300047627529,61.15,60,2.73,2.94
2020-10-08,2.8,3.06,2.68,2.84,0.08,+2.90%,152,3199,28.74%,0.57765928369751,0.065180533907611,-0.0271135437,0.08175323929914,0.033335176005211,2.8400052657079,60.89,60,2.74,2.92
2020-10-07,2.25,2.88,2.25,2.76,0.73,+35.96%,249,3184,29.50%,0.55722729978496,0.06363008627866,-0.0276292724,0.083022059143522,0.032846003956566,2.7600050351678,60.59,60,2.72,2.8
2020-10-06,2.14,2.58,2.03,2.03,-0.08,-3.79%,136,3186,27.19%,0.48351294126956,0.070180806513836,-0.0249702523,0.083256892288008,0.029283955261983,2.0300058429791,59.51,60,1.95,2.1
2020-10-05,2.1,2.2,2.06,2.11,0.16,+8.21%,215,3268,27.55%,0.48826753334452,0.068470065504387,-0.025063542,0.084282182984847,0.030174574032316,2.1100048725141,59.56,60,2.05,2.22
2020-10-02,1.99,2.23,1.71,1.95,-0.27,-12.16%,194,3123,28.79%,0.44553233042792,0.063690523670738,-0.0248628097,0.085157730287413,0.02914256364166,1.9500056737077,58.83,60,1.8,1.96
2020-10-01,2.49,2.5,2.22,2.22,-0.12,-5.13%,194,3040,28.03%,0.4988778533017,0.064440023964549,-0.0245125174,0.088081514322884,0.033361699619538,2.3100064764768,59.68,60,2.26,2.36
2020-09-30,2.3,2.66,2.28,2.34,0.05,+2.18%,87,2974,27.99%,0.50043720301915,0.063887734108536,-0.0242303121,0.088987264450795,0.034114343322589,2.3400054756871,59.7,60,2.24,2.42
2020-09-29,2.44,2.6,2.29,2.29,-0.09,-3.78%,59,2945,28.43%,0.48705834354708,0.06248993824552,-0.0242692103,0.089462781269527,0.033757698190406,2.2900048380926,59.47,60,2.2,2.3
2020-09-28,2.69,2.8,2.28,2.38,-0.33,-12.18%,107,2965,28.56%,0.49466675055919,0.061542363584602,-0.024207752,0.090524127934724,0.034913553481486,2.3800074333372,59.58,60,2.3,2.49
2020-09-25,2.55,2.75,2.43,2.71,0.13,+5.04%,85,2948,30.14%,0.51096477145011,0.056493556975479,-0.0249355398,0.093363676827061,0.03785470762967,2.7100076902758,59.8,60,2.54,2.72
2020-09-24,2.27,2.84,2.21,2.58,0.17,+7.05%,157,2894,31.15%,0.48522218370808,0.054627018915877,-0.0253310766,0.09337917891625,0.036371734142904,2.580005645685,59.3,60,2.4,2.59
2020-09-23,3.05,3.05,2.32,2.41,-0.74,-23.49%,461,2730,30.79%,0.46636009071727,0.054935261400061,-0.0246142154,0.093386816198913,0.035526710820388,2.410005675299,58.96,60,2.25,2.42
2020-09-22,3.2,3.2,2.58,3.15,-0.3,-8.70%,127,2702,29.39%,0.55675328343974,0.05513723467434,-0.0237535776,0.096188972512468,0.0434711506482,3.1500077916623,60.62,60,2.84,3.25
2020-09-21,4.35,4.5,3.03,3.45,0.49,+16.55%,722,2416,31.08%,0.56656261454892,0.051338229898954,-0.0249050572,0.096943368613943,0.044753123853214,3.4500049029564,60.82,60,3.4,3.55
2020-09-18,3.2,3.2,2.79,2.96,-0.24,-7.50%,330,2268,31.21%,0.51170368295721,0.051475134583551,-0.0243217165,0.098933595331164,0.042253621225719,2.9599907213008,59.75,60,2.78,3.1
2020-09-17,3,3.57,2.59,3.2,-0.35,-9.86%,276,2172,32.62%,0.53468371543299,0.048355895293082,-0.0253136318,0.10009263858032,0.044691522164886,3.3500066767818,60.18,60,3.25,3.45
