Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2020-11-20,3.67,4.17,3.65,4.16,0.43,+11.53%,567,2679,0.00%,0,0,0,0,0,0,55.7,60,4.2,4.35
2020-11-19,4.12,4.13,3.6,3.73,0.4,+12.01%,24,2701,63.20%,-0.9661705136,0.040212271154574,-0.0705326722,0.0022200050887995,-0.0015922003,3.5750001059047,56.45,60,3.45,3.7
2020-11-18,2.99,3.33,2.99,3.33,0.56,+20.22%,40,2702,0.00%,0,0,0,0,0,0,56.25,60,3.65,3.8
2020-11-17,3.02,3.02,2.67,2.77,0,0.00%,23,2707,36.55%,-0.9290198939,0.071665709476678,-0.0431676318,0.0070260987006388,-0.0046031929,2.9399999999996,57.12,60,2.83,3.05
2020-11-16,2.77,2.77,2.77,2.77,-0.32,-10.36%,1,2707,0.00%,0,0,0,0,0,0,57.15,60,2.72,3.1
2020-11-13,3.09,3.09,3.09,3.09,-0.71,-18.68%,1,2707,0.00%,0,0,0,0,0,0,56.91,60,3.05,3.2
2020-11-12,3.14,3.87,3.14,3.8,1.19,+45.59%,5,2707,27.70%,-0.9288882971,0.05863898858478,-0.0200189772,0.011349035980403,-0.0122872307,3.6250010669918,56.45,60,3.55,3.7
2020-11-11,2.75,2.75,2.6,2.61,-0.92,-26.06%,5,2706,26.50%,-0.8705256365,0.088571497466542,-0.0282302876,0.018938951443053,-0.0130065185,2.9550015827815,57.2,60,2.86,3.05
2020-11-10,3.73,3.77,3.38,3.53,0.97,+37.89%,507,3116,30.83%,-0.8631684004,0.075737934258371,-0.0320094262,0.02054463827688,-0.0143685911,3.530001042788,56.67,60,3.4,3.6
2020-11-09,2.19,2.56,1.73,2.56,-0.64,-20.00%,57,3119,25.37%,-0.8864194391,0.076783575574083,-0.022232791,0.01897184069904,-0.0161786304,3.2999999999985,56.84,60,3.15,3.45
2020-11-06,3.48,3.52,3.2,3.2,-0.34,-9.60%,11,3129,24.22%,-0.8714433479,0.077834835438177,-0.0205328207,0.023333859439921,-0.0202798285,3.3750013269708,56.8,60,3.3,3.45
2020-11-05,3.54,3.54,3.54,3.54,-0.41,-10.38%,1,3127,25.16%,-0.8641763302,0.075391163727756,-0.0213268391,0.025023990880567,-0.0215768365,3.5400014299505,56.66,60,3.5,3.6
2020-11-04,2.79,3.95,2.79,3.95,0.48,+13.83%,20,3129,33.31%,-0.7969563116,0.071672140600078,-0.0350782508,0.033395353906425,-0.0214660644,3.95000193581,56.49,60,3.75,3.95
2020-11-03,3.5,3.5,3.47,3.47,-0.73,-17.38%,6,3134,32.81%,-0.7703639832,0.075400562383496,-0.0361738886,0.037170620387165,-0.0221144397,3.7250019284824,56.8,60,3.65,3.8
2020-11-02,3.43,4.2,3.35,4.2,-0.48,-10.26%,7,3136,37.24%,-0.7572353495,0.066984362910431,-0.0408408177,0.039194655072419,-0.0231511063,4.2000028145259,56.45,60,4,4.3
2020-10-30,4.15,4.85,3.9,4.68,0.58,+14.15%,103,3169,30.90%,-0.8075397313,0.065719683221895,-0.0273829362,0.036784459399125,-0.0285573093,4.3250033101395,56.11,60,4.15,4.5
2020-10-29,4.95,4.97,4,4.1,-0.65,-13.68%,289,3438,28.85%,-0.8251423955,0.064865457755201,-0.023544418,0.035404113516406,-0.0304827887,4.3500024372486,56.02,60,4.3,4.4
2020-10-28,4.1,4.8,4.05,4.75,1.19,+33.43%,89,3508,29.40%,-0.8411283185,0.058968985624955,-0.0219121216,0.033762184897052,-0.0324568392,4.7500019922404,55.59,60,4.7,4.9
2020-10-27,3,3.56,2.94,3.56,0.31,+9.54%,57,3629,28.59%,-0.7408240616,0.077360781036668,-0.0285028884,0.047370426549205,-0.0301448312,3.5600027720461,57.08,60,3.45,3.6
2020-10-26,2.24,4,2.24,3.25,1.51,+86.78%,719,3819,27.75%,-0.710222267,0.081910291922502,-0.0288420244,0.051455977499747,-0.0301915117,3.2500040648233,57.49,60,3.1,3.25
