Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2020-11-20,2.5,2.54,2.5,2.54,-0.16,-5.93%,2,171,313.72%,0.88479823700511,0.082797316670862,-0.2298410314,0.001453159901142,0.0002196862,2.5400000672005,14.4,12,2.35,2.9
2020-11-19,2.7,2.7,2.7,2.7,0,0.00%,0,171,0.00%,0,0,0,0,0,0,14.01,12,1.9,2.1
2020-11-18,2.7,2.7,2.7,2.7,-0.23,-7.85%,4,175,158.49%,0.94925858602979,0.061780920249849,-0.0427257336,0.0011114493020276,0.00041396,2.4749999999999,14.44,12,2.4,2.55
2020-11-17,2.93,2.93,2.93,2.93,1.08,+58.38%,3,178,162.84%,0.93655783591012,0.056804046763731,-0.044007875,0.0016707288236965,0.0006295665,2.9300001011605,14.87,12,2.8,2.95
2020-11-16,1.85,1.85,1.85,1.85,0,0.00%,0,178,0.00%,0,0,0,0,0,0,14.6,12,2.5,2.65
2020-11-13,1.85,1.85,1.85,1.85,0,0.00%,0,178,63.50%,0.98020505837481,0.039581528319168,-0.0034251748,0.000908812,0.000782774,2.2250000658108,14.22,12,2.15,2.3
2020-11-12,1.85,1.85,1.85,1.85,-0.07,-3.65%,15,186,0.00%,0,0,0,0,0,0,13.93,12,1.8,2.05
2020-11-11,1.94,1.94,1.9,1.92,-0.28,-12.73%,24,210,67.86%,0.93376718321585,0.087676712534954,-0.0093856553,0.0027870378193227,0.0015944377958821,2.0250001254516,13.99,12,1.95,2.1
2020-11-10,2.05,2.2,2.04,2.2,0.3,+15.79%,36,235,82.75%,0.89434776924619,0.095209670619361,-0.0162433653,0.0042285672970059,0.001950505425885,2.1999999999999,14.11,12,2.05,2.25
2020-11-09,2.1,2.1,1.7,1.9,0.41,+27.52%,13,241,92.96%,0.81083461004481,0.12301888283322,-0.0257146426,0.0063886731554119,0.0021269463690743,1.9000003686805,13.67,12,1.35,1.9
2020-11-06,1.2,1.51,1.2,1.49,0.44,+41.90%,53,261,62.50%,0.79131687941028,0.17929266925243,-0.0151949768,0.0073559011844605,0.0026090173507409,1.3500002137136,13.17,12,1.25,1.45
2020-11-05,0.99,1.05,0.99,1.05,0.16,+17.98%,7,259,35.36%,0.88233945563802,0.21747658600282,-0.0049952448,0.0050760873903916,0.0023244094989883,1.0500002526412,13.01,12,0.95,1.3
2020-11-04,0.9,0.9,0.89,0.89,-0.16,-15.24%,30,229,58.57%,0.62183581025826,0.2508772074925,-0.0169299382,0.0098319090377953,0.0025051678185561,0.80000049303583,12.4,12,0.75,0.85
2020-11-03,1.05,1.05,1.05,1.05,0.32,+43.84%,1,230,66.44%,0.66184716387543,0.20235324925585,-0.0182795801,0.0099295661038482,0.0027942812458992,1.0500008320932,12.64,12,0.95,1.1
2020-11-02,0.73,0.73,0.73,0.73,0,0.00%,0,230,65.78%,0.57964461895302,0.21881761480221,-0.01836568,0.010604095162122,0.0026038165457987,0.82499999999991,12.26,12,0.75,0.9
2020-10-30,0.7,0.73,0.7,0.73,0.08,+12.31%,2,231,64.00%,0.52837093037283,0.23904434662285,-0.0165013484,0.011438200841236,0.0027522075881858,0.73000035386651,12.03,12,0.65,0.8
2020-10-29,0.65,0.65,0.65,0.65,-0.05,-7.14%,1,231,53.51%,0.53614485276529,0.25117793701571,-0.0133334726,0.011733442201247,0.0029583344737905,0.64999887870408,12.08,12,0.65,0.8
2020-10-28,0.7,0.7,0.7,0.7,-0.3,-30.00%,5,231,60.12%,0.52037977375593,0.22049929382373,-0.014705802,0.011952636840419,0.0029706351250325,0.70000068449177,12,12,0.6,0.8
2020-10-27,1,1,1,1,-0.4,-28.57%,3,231,64.00%,0.60624741908698,0.18923776861055,-0.0152074761,0.012188368735394,0.0035731967412023,1.0000008295955,12.42,12,0.85,1
2020-10-26,1.4,1.4,1.4,1.4,0.5,+55.56%,1,231,59.25%,0.67439689403406,0.18285518892731,-0.013040014,0.011944360457599,0.0040718599850997,1.1749999999996,12.76,12,1.1,1.25
2020-10-23,0.9,0.9,0.9,0.9,0,0.00%,0,231,55.57%,0.76522575498311,0.15144473127543,-0.0099328845,0.011174879618052,0.0048619734571709,1.5499999999999,13.29,12,1.45,1.65
2020-10-22,0.9,0.9,0.9,0.9,0,0.00%,0,231,56.85%,0.71488283411513,0.16377163871178,-0.0109634363,0.012344272729401,0.0048602087617589,1.3750003802383,13.02,12,1.3,1.45
