Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2020-11-20,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,14.4,12,0,0.35
2020-11-19,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,14.01,12,0,0.25
2020-11-18,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,14.44,12,0,0.1
2020-11-17,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,14.87,12,0,0.2
2020-11-16,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,14.6,12,0,0.25
2020-11-13,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,14.22,12,0,0.2
2020-11-12,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,13.93,12,0,0.1
2020-11-11,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,13.99,12,0,0.1
2020-11-10,0.1,0.1,0.1,0.1,0,0.00%,0,42,0.00%,0,0,0,0,0,0,14.11,12,0,0.1
2020-11-09,0.1,0.1,0.1,0.1,-0.1,-50.00%,1,42,66.82%,-0.1214226305,0.12713779600167,-0.0147853373,0.0047844639086156,-0.0005303533,0.1000000955847,13.67,12,0,0.1
2020-11-06,0.2,0.2,0.2,0.2,-0.2,-50.00%,1,41,61.93%,-0.2086580835,0.17959041778597,-0.0168009331,0.0073986570211309,-0.0011307251,0.20000058860783,13.17,12,0.15,0.3
2020-11-05,0.4,0.4,0.4,0.4,0,0.00%,0,41,55.31%,-0.2244637486,0.20512359022933,-0.0150172028,0.0078907040396042,-0.0012822722,0.200000534836,13.01,12,0.15,0.25
2020-11-04,0.4,0.4,0.4,0.4,-0.05,-11.11%,1,40,55.51%,-0.3745714345,0.26259641645799,-0.0178202353,0.0098221521630265,-0.0022113256,0.40000054423728,12.4,12,0.35,0.45
2020-11-03,0.45,0.45,0.45,0.45,0,0.00%,0,40,59.70%,-0.3269008933,0.22117786059684,-0.0179348047,0.0098243413287475,-0.0020991203,0.37500053977119,12.64,12,0.3,0.45
2020-11-02,0.45,0.45,0.45,0.45,0,0.00%,0,40,61.12%,-0.4181937775,0.23416438400496,-0.0188798859,0.010606003113384,-0.0027995943,0.55000040329162,12.26,12,0.5,0.6
2020-10-30,0.45,0.45,0.45,0.45,0,0.00%,0,40,62.63%,-0.4713743817,0.2194613153614,-0.0180482808,0.011442506440148,-0.0036796168,0.7250003937417,12.03,12,0.65,0.8
2020-10-29,0.45,0.45,0.45,0.45,0,0.00%,0,40,54.58%,-0.4630857167,0.24458755629343,-0.0155306299,0.011739622704118,-0.0037484083,0.62500114529706,12.08,12,0.55,0.7
2020-10-28,0.45,0.45,0.45,0.45,0,0.00%,0,40,54.30%,-0.482585488,0.24275371188518,-0.0151258245,0.011958997404926,-0.0040744002,0.67500074780169,12,12,0.6,0.75
2020-10-27,0.45,0.45,0.45,0.45,0.15,+50.00%,12,27,49.57%,-0.3796089855,0.24045577657096,-0.0132764748,0.012087328768743,-0.0033959043,0.44999999999998,12.42,12,0.4,0.55
2020-10-26,0.3,0.3,0.3,0.3,0,0.00%,0,27,56.24%,-0.3203554492,0.19005290123498,-0.0140765267,0.011918328827518,-0.0030908319,0.42500073790121,12.76,12,0.35,0.5
2020-10-23,0.3,0.3,0.3,0.3,-0.05,-14.29%,22,7,54.82%,-0.2348829745,0.15196207936092,-0.0115388407,0.011285526565432,-0.0026246963,0.30000075192038,13.29,12,0.2,0.35
2020-10-22,0.35,0.35,0.35,0.35,-0.5,-58.82%,1,6,52.23%,-0.2742299074,0.1734550966116,-0.011558129,0.012199064116582,-0.0031147919,0.35000073346657,13.02,12,0.25,0.45
2020-10-21,0.85,0.85,0.85,0.85,0,0.00%,0,6,46.39%,-0.380417779,0.22940733445483,-0.011262457,0.013534851889251,-0.0042799148,0.47499999999994,12.44,12,0.4,0.55
2020-10-20,0.85,0.85,0.85,0.85,0,0.00%,0,6,47.66%,-0.4496453788,0.23344799337135,-0.0116635761,0.013947607502526,-0.0051706463,0.62499999999972,12.15,12,0.55,0.7
2020-10-19,0.85,0.85,0.85,0.85,0,0.00%,0,6,48.80%,-0.5301533244,0.23185916463611,-0.0116375017,0.013809969571069,-0.0062076819,0.82500053683876,11.8,12,0.75,0.9
2020-10-16,0.85,0.85,0.85,0.85,0,0.00%,0,6,46.43%,-0.4622861479,0.2270768434673,-0.0107819389,0.014798987945488,-0.0060108651,0.67500070548557,12.1,12,0.6,0.75
2020-10-15,0.85,0.85,0.85,0.85,-0.05,-5.56%,8,6,49.21%,-0.5147005901,0.21626128354023,-0.0111437395,0.014735643223389,-0.0068538268,0.85000089674382,11.85,12,0.8,0.9
2020-10-14,0.9,0.9,0.9,0.9,0,0.00%,0,6,46.33%,-0.5735709716,0.22704767575018,-0.0101913338,0.014369824273676,-0.0077131977,0.94999999999975,11.61,12,0.85,1.05
2020-10-13,0.9,0.9,0.9,0.9,0,0.00%,0,6,47.18%,-0.5409647531,0.22032076658475,-0.0103882324,0.014913677357317,-0.0075487063,0.90000066177188,11.74,12,0.8,1
2020-10-12,0.9,0.9,0.9,0.9,-0.05,-5.26%,2,6,48.55%,-0.4612939128,0.20557104061421,-0.0106761916,0.015608481504967,-0.0067651243,0.75000084877922,12.1,12,0.65,0.85
2020-10-09,0.95,0.95,0.95,0.95,0,0.00%,0,6,47.86%,-0.4636981954,0.20111680478952,-0.0101878492,0.016185017581155,-0.0073424128,0.77500109392015,12.09,12,0.7,0.85
2020-10-08,0.95,0.95,0.95,0.95,0,0.00%,0,6,50.92%,-0.4154942268,0.17979440263433,-0.0105915677,0.016421229187566,-0.0068941423,0.72500161485856,12.34,12,0.65,0.8
2020-10-07,0.95,0.95,0.95,0.95,0,0.00%,0,6,50.77%,-0.4542305082,0.18415631884065,-0.0105139577,0.016578283807956,-0.0076362492,0.82500132516967,12.13,12,0.75,0.9
2020-10-06,0.95,0.95,0.95,0.95,0,0.00%,0,6,49.76%,-0.5156378424,0.19158324319241,-0.0101391463,0.016388976806309,-0.0087096275,0.97500098591664,11.81,12,0.9,1.05
2020-10-05,0.95,0.95,0.95,0.95,0,0.00%,0,6,51.55%,-0.5154968202,0.18318879213424,-0.0103424749,0.016538906486981,-0.0089511002,1.0250011769965,11.79,12,0.95,1.1
2020-10-02,0.95,0.95,0.95,0.95,0,0.00%,0,6,50.03%,-0.5735190966,0.18421477973842,-0.0095176979,0.016303710386453,-0.0104494646,1.2000008188364,11.48,12,1.15,1.25
2020-10-01,0.95,0.95,0.95,0.95,0,0.00%,0,6,49.10%,-0.5769982582,0.18561236880548,-0.0092656186,0.016420753520333,-0.0107095203,1.2000005999964,11.47,12,1.1,1.3
2020-09-30,0.95,0.95,0.95,0.95,0,0.00%,6,N/A,50.31%,-0.521601525,0.17851550375242,-0.0096348498,0.01732261899751,-0.0100652992,1.0750011002389,11.75,12,1,1.15
"Downloaded from Barchart.com as of 01-10-2026 06:11am CST"
