Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,60.7,74.3,60.7,70.85,9.75,+15.96%,1410,17831,204.75%,0.99169963255027,0.000662969,-0.4248009097,0.0037743249690257,0.0066746129689932,70.849999999999,320.72,250,69.9,72.05
2024-11-14,78.25,79.66,60.8,61.1,-18.31,-23.06%,538,18015,223.47%,0.97326280505775,0.0016977505454782,-1.1572896451,0.01007177247289,0.0066098604868614,61.6,311.18,250,60.8,61.6
2024-11-13,84.9,93.56,72.93,79.41,0.25999999999999,+0.33%,282,18128,196.55%,0.97657869555064,0.0011509972615822,-0.6967181031,0.013528138848434,0.013246867058569,80.750001079713,330.24,250,79.5,80.75
2024-11-12,92.89,96.45,73.6,79.15,-21.5,-21.36%,472,18333,164.56%,0.97176791778317,0.0013195281162405,-0.5602580895,0.019269665760649,0.019731452509575,79.150001345929,328.49,250,77.9,79.5
2024-11-11,96.8,108.62,87.28,100.65,29.1,+40.67%,1292,18747,166.32%,0.97843945663568,0.000846306,-0.4251178203,0.018909412735448,0.026499039553585,100.6500012852,350,250,100.1,102.15
2024-11-08,49.7,78.67,48.6,71.55,24.05,+50.63%,1260,19067,86.94%,0.98959018424784,0.0007702769,-0.1149825609,0.011371086395113,0.040491949081911,71.550000859938,321.22,250,71.15,73
2024-11-07,41.74,50.37,37,47.5,7.85,+19.80%,1134,19470,63.35%,0.97072994971098,0.0023928272490312,-0.1479036507,0.029308755565662,0.052760416937758,47.500001659804,296.91,250,47.4,48.1
2024-11-06,35.45,40.6,28.08,39.65,26.95,+212.20%,5501,20771,62.52%,0.93589841000232,0.0044267923330808,-0.227905633,0.056834269329888,0.056807247590029,39.649999999994,288.53,250,38.45,40.8
2024-11-05,9.85,14.7,9.54,12.7,4.6,+56.79%,8988,20264,71.33%,0.54732064159426,0.013350887378471,-0.604468045,0.16485672634032,0.034224468936195,12.700008354921,251.44,250,12.6,12.7
2024-11-04,8.45,10.85,6.4,8.1,-2.54,-23.87%,10134,19824,65.55%,0.4263293107358,0.014192914191365,-0.5051153908,0.16529838529284,0.02876000248051,8.1000090112574,242.84,250,8,8.1
2024-11-01,12.25,13.3,9.35,10.64,-0.82,-7.16%,10048,19582,58.28%,0.51334714563163,0.014561388488521,-0.4354696111,0.18734173396031,0.041733407335443,10.64000573811,248.98,250,10.5,10.75
2024-10-31,17.2,18.05,11.25,11.46,-5.04,-30.55%,6552,19692,55.93%,0.52746566858015,0.014052665433582,-0.3917022021,0.20157458042033,0.049450206171464,11.460020002659,249.85,250,11.3,11.55
2024-10-30,17.16,20.6,15.81,16.5,-1.4,-7.82%,3837,20105,56.86%,0.62826954961858,0.012334868708134,-0.381531638,0.20389555654961,0.063698538860635,16.500010628793,257.55,250,16.45,17.6
2024-10-29,22.45,22.45,15.74,17.9,-3.2,-15.17%,1865,20136,55.74%,0.65158349129518,0.011847705062816,-0.3595061103,0.2071002956444,0.070422126371028,17.900011852498,259.52,250,17.85,18.1
2024-10-28,28.49,29.4,21.1,21.1,-6.1,-22.43%,2046,20361,59.82%,0.67435668179425,0.010330703463769,-0.3695475727,0.20997614199808,0.07689537489135,21.100016189082,262.51,250,21.05,21.3
2024-10-25,17.6,27.54,16.78,27.2,6.45,+31.08%,5516,21595,63.14%,0.72316487828207,0.0084151548486969,-0.3551263988,0.21093733393233,0.091764359920887,27.200013595646,269.19,250,27.15,27.45
2024-10-24,11.65,22.27,9.5,20.75,17.55,+548.44%,27991,23257,57.99%,0.64807384710251,0.01000957880414,-0.3323806469,0.23733097044681,0.089242773860576,20.750005452232,260.48,250,20.45,20.85
2024-10-23,3.33,3.65,3.06,3.2,-0.3,-8.57%,3612,21689,63.10%,0.18573882112442,0.0079075317200488,-0.2016789817,0.14351299701203,0.022989992575129,3.1999999999994,213.65,250,3.15,3.3
2024-10-22,3.25,3.6,2.95,3.5,0.0099999999999998,+0.29%,7730,16937,58.18%,0.20516651030973,0.0087424130005177,-0.1980166283,0.15888109758884,0.027104453493632,3.5000148147821,217.97,250,3.45,3.55
2024-10-21,3.7,3.75,3.11,3.49,-0.56,-13.83%,2853,16399,55.79%,0.20729678087657,0.0089505467631542,-0.1883276069,0.16381185380392,0.028683704042054,3.4900140038503,218.85,250,3.4,3.5
2024-10-18,4.4,4.55,3.86,4.05,-0.45,-10.00%,2271,16005,54.51%,0.2288247119456,0.0092541647054625,-0.1896010952,0.18174155947758,0.034362563335666,4.0500113626884,220.7,250,4.05,4.1
2024-10-17,5,5.05,4.13,4.5,-0.55,-10.89%,3410,15542,54.65%,0.24138860146551,0.0091656552832777,-0.189404037,0.19416319483375,0.038789994570365,4.5000185056072,220.89,250,4.45,4.55
2024-10-16,5.35,5.8,4.7,5.05,0.05,+1.00%,1593,15057,55.86%,0.25619697829348,0.0090820919339814,-0.1971909003,0.20424900081916,0.042456732366425,5.0499999999901,221.33,250,4.95,5.05
2024-10-15,5.1,6.3,4.5,5,0,0.00%,2702,15123,56.84%,0.2497451577407,0.0087324173922929,-0.1931078515,0.20322845220602,0.04232826488737,4.9999999999943,219.57,250,4.95,5.05
2024-10-14,6.15,6.55,4.33,5,-0.75,-13.04%,3743,14501,56.41%,0.24864541282989,0.0086565785337339,-0.1879669499,0.20561167286079,0.043392632616879,5.0000106715436,219.16,250,4.95,5.05
2024-10-11,7.65,7.65,5.69,5.75,-9.7,-62.78%,6719,13493,59.79%,0.26132781953165,0.0081827870594723,-0.1969987607,0.21617867233792,0.04766404520451,5.7500126643536,217.8,250,5.75,5.8
2024-10-10,17,17.38,13.4,15.45,-1.15,-6.93%,3731,13221,65.81%,0.46194685211557,0.0080482001042561,-0.2850034282,0.29777695579114,0.093551502340006,15.45001649351,238.77,250,15.2,15.65
2024-10-09,18.3,19.9,16.35,16.6,-2.,-10.75%,4654,11787,65.10%,0.48093844815068,0.0079775650862803,-0.2826499829,0.30581125342378,0.10069277283264,16.599999999998,241.05,250,16.55,16.65
