Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2024-11-15,0.04,0.04,0.01,0.01,-0.01,-50.00%,1742,20287,161.30%,-0.0012872147,0.0001576309,-0.0578475516,0.0007075231,-0.0000108647,0.010000042028326,320.72,250,0,0.01
2024-11-14,0.05,0.05,0.02,0.02,-0.03,-60.00%,2630,21459,152.13%,-0.0026382688,0.000328414,-0.1008877076,0.001327684361425,-0.0000218754,0.020000086286293,311.18,250,0.02,0.04
2024-11-13,0.11,0.11,0.04,0.05,-0.08,-61.54%,2205,21299,146.37%,-0.0043328864,0.0003552808,-0.1136900017,0.0031119496255027,-0.0000768688,0.050000263464569,330.24,250,0.04,0.05
2024-11-12,0.26,0.29,0.12,0.13,-0.14,-51.85%,3356,21715,131.82%,-0.0094561817,0.000646057,-0.1657140974,0.0075610082474592,-0.0002510271,0.13000050834945,328.49,250,0.12,0.13
2024-11-11,0.45,0.46,0.15,0.27,-0.18,-40.00%,7780,21945,150.47%,-0.0132867964,0.0006183657,-0.234536339,0.012501942977081,-0.0005076317,0.27000101563156,350,250,0.27,0.28
2024-11-08,0.36,0.49,0.25,0.45,0.03,+7.14%,15660,19305,104.68%,-0.0261734424,0.0014083181368315,-0.2171278954,0.025017247818257,-0.0013650634,0.45000148129532,321.22,250,0.44,0.45
2024-11-07,0.73,0.95,0.36,0.42,-0.44,-51.16%,9095,18316,66.32%,-0.0350973453,0.0026564543078372,-0.1397777976,0.034048006809946,-0.0022238241,0.42000257631257,296.91,250,0.41,0.44
2024-11-06,1.6,1.88,0.54,0.86,-10.02,-92.10%,19169,18499,63.15%,-0.0660110638,0.004485696876614,-0.2015370642,0.058143694379992,-0.0045648639,0.86000549025145,288.53,250,0.85,0.88
2024-11-05,12.3,12.7,9.08,10.88,-3.87,-26.24%,9862,17568,70.91%,-0.4535875546,0.01345366228337,-0.5701814588,0.16487713086729,-0.0297226822,10.87999999997,251.44,250,10.7,10.9
2024-11-04,13.44,17.1,11.55,14.75,3.45,+30.53%,5780,18018,64.46%,-0.5771133215,0.014455220654981,-0.4661688538,0.16497543324487,-0.0391993849,14.750012090905,242.84,250,14.65,14.85
2024-11-01,9.9,12.2,8.8,11.3,0.3,+2.73%,12605,16986,58.50%,-0.487977824,0.014552207837861,-0.4063748548,0.1873136316449,-0.0405283885,11.299999999999,248.98,250,11.1,11.45
2024-10-31,8.3,11.28,8,11,2.6,+30.95%,9611,15607,55.19%,-0.4743491828,0.014288593258514,-0.3561545791,0.20158392783853,-0.0457159902,10.999999999996,249.85,250,11,11.2
2024-10-30,8.32,9.15,6.65,8.4,0.58,+7.42%,1753,15364,56.63%,-0.3725983052,0.012421343315472,-0.3489390058,0.20401381347009,-0.0401858254,8.4000148773599,257.55,250,8.25,8.4
2024-10-29,7.35,9.65,7.25,7.82,-0.18,-2.25%,5125,14688,55.63%,-0.3493749347,0.011908781080444,-0.3276273355,0.20727620277431,-0.0404614128,7.8200133955641,259.52,250,7.75,8.3
2024-10-28,7,8,5.55,8,0.6,+8.11%,6395,13832,59.73%,-0.3265079909,0.010378263164811,-0.3377399343,0.21016987087389,-0.0408711767,8.0000123259317,262.51,250,7.85,8.05
2024-10-25,10.85,11,7.23,7.4,-2.1,-22.11%,7651,13162,63.28%,-0.278014212,0.0084283612575188,-0.3246236542,0.21135645210549,-0.0402801987,7.4000120528008,269.19,250,7.35,7.45
2024-10-24,15.88,16.45,9.35,9.5,-29.4,-75.58%,14865,12201,57.14%,-0.3519874572,0.010186387385993,-0.2964427916,0.23728030279684,-0.0533022547,9.3750007704196,260.48,250,9.3,9.45
2024-10-23,35.2,40.4,34.85,38.9,3.75,+10.67%,111,12137,62.61%,-0.821983242,0.0078988992826025,-0.1704130666,0.13918964968241,-0.0907145296,38.899999999996,213.65,250,38.55,39.3
2024-10-22,35.3,36.75,35.1,35.15,0.97,+2.84%,154,12208,59.70%,-0.7933015214,0.0086978876174085,-0.1787221361,0.15899313107035,-0.0945010551,35.150006862803,217.97,250,33.45,36.3
2024-10-21,35.75,35.95,32.8,34.18,1.58,+4.85%,107,12232,56.94%,-0.7932384056,0.008910392769976,-0.1666479982,0.16287251948106,-0.0973980048,34.180009462572,218.85,250,33.6,34.25
2024-10-18,32.4,33.25,31.6,32.6,-0.8,-2.40%,95,12200,54.28%,-0.7788173515,0.0092778388605259,-0.1597445129,0.17751033057455,-0.10441129,32.600008193613,220.7,250,32.45,32.7
2024-10-17,34.11,35,32.05,33.4,0.7,+2.14%,92,12153,53.77%,-0.7696898797,0.009239906344221,-0.1560273024,0.18837543649171,-0.111647229,32.675009021627,220.89,250,32.5,32.85
2024-10-16,33.35,34.84,32.45,32.7,-2.02,-5.82%,172,12174,54.89%,-0.7550055744,0.0091820042606494,-0.1625801467,0.19869063227601,-0.1157591084,32.700012992318,221.33,250,32.55,32.9
2024-10-15,33.92,36,31.5,34.72,-0.19,-0.54%,112,12197,57.53%,-0.7535462696,0.0087120035414421,-0.1673077264,0.20100591800066,-0.1197184491,34.720017826752,219.57,250,33.35,34.75
2024-10-14,34.43,39.65,34.31,34.91,-2.09,-5.65%,181,12182,56.12%,-0.7596956051,0.0086963742094538,-0.1571671222,0.20097566156542,-0.1227708599,34.910019215118,219.16,250,34.7,36.1
2024-10-11,36.4,39.77,33.35,37,11.4,+44.53%,742,11907,59.69%,-0.7457002222,0.0082168346815318,-0.1673432954,0.21229808917343,-0.1310020142,37.000012714203,217.8,250,36.9,37.25
2024-10-10,24.25,29.1,23.6,25.6,1.65,+6.89%,341,11858,65.86%,-0.5410826566,0.0080901237376467,-0.2548273322,0.29728134962773,-0.1248277047,25.600015371283,238.77,250,25.35,26
2024-10-09,23.95,25.2,21.4,23.95,1.34,+5.93%,1468,11699,64.76%,-0.5226997392,0.0080672720703965,-0.250320157,0.3053890374036,-0.1251813804,24.3,241.05,250,24.2,24.4
2024-10-08,24,25,22.47,22.61,-2.87,-11.26%,408,11620,64.77%,-0.4938129599,0.0078560497658675,-0.2516395492,0.31438018431586,-0.1235320965,22.799999999999,244.5,250,22.7,22.9
2024-10-07,21.18,25.48,21.18,25.48,4.76,+22.97%,1162,11447,66.59%,-0.5183897371,0.0076536063728252,-0.2506129222,0.31342143074333,-0.1319623752,25.480000000001,240.83,250,25.35,25.55
2024-10-04,21.92,23.75,20.7,20.72,-5.05,-19.60%,511,11440,64.12%,-0.449147872,0.0074036872748918,-0.2441554193,0.33137990351467,-0.1253333209,20.719999999998,250.08,250,20.65,20.8
2024-10-03,24.35,27.17,22.25,25.77,3.17,+14.03%,923,10982,64.19%,-0.5178841239,0.0075706810506486,-0.2288845147,0.32888294783558,-0.1454837076,25.769999999997,240.66,250,25.6,25.8
2024-10-02,23.05,26.1,21.77,22.6,3.15,+16.20%,1001,10942,66.12%,-0.4536339621,0.0069714192397679,-0.2419612508,0.34230930678844,-0.1367745317,22.599999999998,249.02,250,22.45,23.65
2024-10-01,17.5,24.05,17.5,19.45,1.39,+7.70%,993,10732,67.30%,-0.3929895273,0.0063357202263359,-0.2464974196,0.34811661534154,-0.126994905,19.449999999997,258.02,250,19.3,19.45
2024-09-30,20.05,20.7,17.93,18.06,-1.44,-7.38%,774,10596,66.57%,-0.3702371579,0.0061344794293005,-0.2404028268,0.35056425776292,-0.1244968905,18.060018180238,261.63,250,18,18.15
2024-09-27,20.25,21.3,19.3,19.5,-1.88,-8.79%,652,9706,68.00%,-0.3784435099,0.005947087935106,-0.2409809223,0.35898578141383,-0.1331816536,19.499999999999,260.46,250,19.5,19.7
2024-09-26,18.75,22.8,18.41,21.38,1.38,+6.90%,3554,7918,65.07%,-0.4167007929,0.0064095647302737,-0.2246135261,0.36684323822005,-0.1469017444,21.379999999996,254.22,250,21.3,21.5
2024-09-25,21.7,21.7,20,20,-1.,-4.76%,324,7882,63.85%,-0.3985427579,0.0063264138805385,-0.2180990659,0.37051708643621,-0.1448772819,20.000018120542,257.02,250,20,20.1
2024-09-24,21,23.3,20.3,21,-1.78,-7.81%,6269,2629,62.95%,-0.4160464713,0.0064948246082986,-0.2121492307,0.3740502052421,-0.1522166164,20.999999999997,254.27,250,20.9,21.05
2024-09-23,25,25.15,22.75,22.78,-5.27,-18.79%,694,2613,62.24%,-0.4442363213,0.0067071106627736,-0.205868462,0.37594677643533,-0.1619771949,22.779999999998,250,250,22.75,22.8
2024-09-20,26.95,28.8,26.95,28.05,2.4,+9.36%,80,2627,60.04%,-0.5277061395,0.0072341729580529,-0.1840040605,0.36756685249346,-0.1875333199,28.05001125047,238.25,250,28,28.15
2024-09-19,31.05,31.05,25.61,25.65,-9.25,-26.50%,890,3196,60.43%,-0.4843271423,0.0069040321296155,-0.1868184567,0.38370060182809,-0.1834799277,25.649999999999,243.92,250,25.55,25.7
2024-09-18,34.39,34.9,31,34.9,0.41,+1.19%,318,3136,60.41%,-0.6023153233,0.007146721966454,-0.1629295553,0.34835994535365,-0.2083429725,34.900017836649,227.2,250,34.7,34.9
2024-09-17,32.5,35.15,32,34.49,-0.66,-1.88%,46,3136,60.38%,-0.5958803358,0.007097735407858,-0.1626797905,0.35385405715827,-0.2106759172,34.650021585857,227.87,250,34.55,34.75
2024-09-16,36.7,37.9,34.12,35.15,0.7,+2.03%,232,2951,60.41%,-0.6017460209,0.0070441093049803,-0.1595997954,0.35379603119754,-0.215714476,35.475034403217,226.78,250,35.4,35.55
2024-09-13,33.4,35.7,33.4,34.45,-0.05,-0.14%,43,2937,60.57%,-0.5718063413,0.0068643999913218,-0.1615189223,0.37436956119863,-0.2199262325,33.925021045796,230.29,250,33.85,34
2024-09-12,35.53,36.8,34.5,34.5,-1.1,-3.09%,238,2964,60.94%,-0.5725561765,0.0067815339745428,-0.1607234474,0.3764131935073,-0.2239195301,34.500024463154,229.81,250,34.4,34.55
2024-09-11,39.75,42.5,35.6,35.6,-3.,-7.77%,37,2968,61.19%,-0.5816550649,0.0067226981669239,-0.1577830112,0.37488444334614,-0.2299455255,35.725024734877,228.13,250,35.65,35.8
2024-09-10,39.2,41.05,38.2,38.6,-4.25,-9.92%,21,2979,60.77%,-0.5948390699,0.0067313933997153,-0.1522674191,0.37152807890756,-0.2346823277,36.875026290563,226.17,250,36.8,36.95
2024-09-09,43.8,45.1,41.85,42.85,-4.65,-9.79%,74,2969,59.63%,-0.6653695525,0.006723428576008,-0.1300597583,0.33573515768828,-0.2454019174,42.849999999724,216.27,250,42.85,43.2
