Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,0.01,0.01,0.01,0.01,-0.03,-75.00%,0,1074,20.57%,-0.0123660854,0.027598264740235,-0.0188864545,0.001808882092153,-0.0000363817,0.0050001406213309,108.57,106,0,0.01
2016-11-17,0.03,0.08,0.03,0.04,-0.09,-69.23%,0,1029,31.86%,-0.0463230734,0.053353457002623,-0.0882099467,0.005535937324534,-0.0001392905,0.03500046539882,109,106,0.02,0.05
2016-11-16,0.13,0.2,0.09,0.13,-0.1,-43.48%,0,956,23.26%,-0.1147876401,0.10405093405742,-0.0903246375,0.015526221898869,-0.0006862944,0.10500058615175,108.2,106,0.08,0.13
2016-11-15,0.46,0.48,0.23,0.23,-0.91,-79.82%,0,878,19.63%,-0.2139852371,0.15232172704306,-0.0929930336,0.028394787070358,-0.0019098222,0.2350023710806,107.49,106,0.22,0.25
2016-11-14,1.37,1.72,1.14,1.14,-0.14,-10.94%,0,824,27.38%,-0.4748179266,0.13088725697533,-0.1515919464,0.04423850630484,-0.0056484385,1.1400025603375,106.15,106,1.06,1.22
2016-11-11,1.07,1.65,1.07,1.28,0.48,+60.00%,0,735,33.96%,-0.3752904875,0.075035137914544,-0.137087364,0.056447903157406,-0.0079946204,1.3500027514761,107.48,106,1.28,1.42
2016-11-10,0.91,1.01,0.69,0.8,-0.08,-9.09%,0,574,23.01%,-0.3300720115,0.098878837580783,-0.0830435093,0.057656040985119,-0.0079574607,0.81000329185751,107.54,106,0.79,0.83
2016-11-09,1.75,1.89,0.71,0.88,-0.5,-36.23%,0,599,13.97%,-0.4893872376,0.17140624074349,-0.0517492484,0.066392704402765,-0.0130202478,0.9100005887408,106.04,106,0.88,0.94
2016-11-08,1.59,1.59,1.05,1.38,-0.26,-15.85%,0,402,22.97%,-0.4367764502,0.097208785752405,-0.0799827022,0.06947399433862,-0.0131211673,1.3450047843501,106.57,106,1.28,1.41
2016-11-07,1.96,2,1.56,1.64,-1.36,-45.33%,0,330,20.95%,-0.4931731353,0.10347288090233,-0.0700839701,0.073385087145604,-0.0162185706,1.5399999999976,106,106,1.51,1.57
2016-11-04,3.2,3.3,2.79,3,0.16,+5.63%,0,311,32.79%,-0.5315640508,0.058837407458348,-0.0961926247,0.08195225672283,-0.022648219,3.1000054265511,105.25,106,3.05,3.15
2016-11-03,2.49,2.9,2.49,2.84,0.14,+5.19%,0,264,30.34%,-0.5168752006,0.061396698404975,-0.0864401436,0.085244742883061,-0.0235832091,2.8400060975549,105.53,106,2.72,2.96
2016-11-02,2.5,3.5,2.5,2.7,0.43,+18.94%,0,280,29.00%,-0.5099444158,0.062162800058611,-0.0801283532,0.088191109003618,-0.0248199957,2.7450047394988,105.65,106,2.68,2.81
2016-11-01,2.33,2.46,2.06,2.27,-0.78,-25.57%,0,85,20.94%,-0.5323668171,0.083385839490329,-0.0559594581,0.090510736337629,-0.0271697495,2.165008818954,105.51,106,2.11,2.22
2016-10-31,3.75,3.75,2.84,3.05,-0.8,-20.78%,0,15,19.01%,-0.6822054029,0.08133733200162,-0.043868861,0.082161327602072,-0.0364446108,3.0749999999972,103.82,106,3,3.15
2016-10-28,3.3,3.85,3.3,3.85,0,0.00%,0,N/A,0.00%,-0.616901,0.058561,-0.06496,0.090411,-0.035343,3.033788,101.12,106,3.75,3.95
"Downloaded from Barchart.com as of 01-10-2026 08:56am CST"
