Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,0.9,1.4,0.01,0.03,-0.9,-96.77%,0,947,9.11%,0.018477170321743,0.012139990519074,-0.0857151661,0.018513155054018,0.0003918822,0.025001031065527,787.17,795,0,0.05
2016-11-17,1.02,2.2,0.48,0.93,-0.22,-19.13%,0,950,28.55%,0.14628437901393,0.019608281952323,-1.3416951742,0.093908505710109,0.0031120891852692,0.87500317546647,782.5,795,0.75,1
2016-11-16,0.5,2.13,0.5,1.15,-0.1,-8.00%,0,916,34.90%,0.11466173949499,0.0097317052167749,-0.9647250246,0.11046707256428,0.0047801279059673,1.1000043359915,770.42,795,1,1.2
2016-11-15,1.15,3.08,0.4,1.25,0.7,+127.27%,0,862,33.22%,0.10737822548603,0.0080141319791527,-0.7110883753,0.12825272719048,0.00665913885822,1.1750067401754,765.47,795,1.05,1.3
2016-11-14,2.1,2.1,0.43,0.55,-1.55,-73.81%,0,807,19.73%,0.077223256519759,0.0090781799207798,-0.2890757948,0.11694453054537,0.0064709243275382,0.55000701043416,771.76,795,0.45,0.65
2016-11-11,3.74,3.74,1.18,2.1,-2.11,-50.12%,0,750,18.43%,0.18641552286345,0.013527809627081,-0.3814013584,0.2885136263354,0.027388016450953,2.0000194090397,776.81,795,1.9,2.1
2016-11-10,8.9,8.9,4.2,4.21,-11.74,-73.61%,0,732,0.00%,0.297651,0.013084,-0.767343,0.346601,0.037373,2.963048,810,795,4.7,5.1
2016-11-09,15.5,19.39,12.61,15.95,-8.05,-33.54%,0,753,24.67%,0.59592926470177,0.012471348143328,-0.6736517351,0.48768887963455,0.11385222841463,16.100037804401,801.83,795,15.7,16.5
2016-11-08,17,24.67,16.3,24,7.67,+46.97%,0,756,35.33%,0.57210456582832,0.0083681029172275,-0.9250834323,0.52090818960423,0.11957393098436,22.400019094449,802.03,795,20.9,23.9
2016-11-07,13.2,17.7,13.2,16.33,6.81,+71.53%,0,780,31.02%,0.51118986120641,0.0093165366510925,-0.780362178,0.55030924484013,0.11731432319893,17.100030278056,794.95,795,16.7,17.5
2016-11-04,8.2,11.13,8.2,9.52,0.32,+3.48%,0,289,29.68%,0.31241158978959,0.0078961777548282,-0.5693362863,0.53469402904155,0.089067989494929,8.7499999998821,771.3,795,8.5,9
2016-11-03,12.1,12.1,8.43,9.2,-2.7,-22.69%,0,291,21.40%,0.3893191650731,0.011271447084851,-0.4382106723,0.60985219910108,0.12177565538174,9.1000321692329,784.5,795,8.9,9.3
2016-11-02,18.9,18.9,11.9,11.9,-7.6,-38.97%,0,295,5.21%,0.91445079046444,0.017771330214176,-0.0511350008,0.26412236779971,0.31802506330289,12.250004855109,806.76,795,12,12.5
2016-11-01,23.82,25.2,19.5,19.5,-4.11,-17.41%,0,298,16.65%,0.71681604553606,0.01161709778798,-0.2963497093,0.5922819343238,0.26081952671332,21.249999999527,810.87,795,21,21.5
2016-10-31,28.41,28.41,23.54,23.61,-12.49,-34.60%,0,286,0.00%,0.665954,0.00975,-0.428627,0.61707,0.226151,18.271983,822.43,795,22.9,24
2016-10-28,43.3,43.3,36.1,36.1,-5.2,-12.59%,0,282,0.00%,0.9090374144901,0.0060445058509307,-0.1055193832,0.39216849469355,0.297128,36.100021257158,829.94,795,31.1,32
2016-10-27,41.3,41.3,41.3,41.3,2,+5.09%,0,282,25.42%,0.7224541903805,0.0065273958705789,-0.3974728555,0.67723688490732,0.33589905127281,37.300035152775,823.01,795,37,37.6
2016-10-26,41.68,41.68,39.3,39.3,-6.4,-14.00%,0,286,26.60%,0.73580011421737,0.0059214771794617,-0.3990613806,0.67900919802015,0.35734751422432,41.500062817171,827.12,795,41.2,41.8
2016-10-25,47.6,47.6,45.7,45.7,-6.5,-12.45%,0,287,18.78%,0.87200189656396,0.0051820410478298,-0.1837706745,0.44999130478053,0.45029504331235,46.350019457098,838.5,795,46,46.7
2016-10-24,52.2,52.2,52.2,52.2,5.8,+12.50%,0,287,35.38%,0.69702762294102,0.0045443683010676,-0.5427688602,0.75867570170739,0.36143538598899,50.90004321036,830.09,795,50.3,51.5
2016-10-21,46.61,46.61,46.4,46.4,0,0.00%,0,287,32.52%,0.65257030586972,0.0050025255519734,-0.4925422568,0.83892865573703,0.37723878261176,43.350052367607,820,795,42.1,44.6
2016-10-20,46.61,46.61,46.4,46.4,0,0.00%,0,287,24.34%,0.73373610184773,0.0057842447823354,-0.3275540557,0.7658742631841,0.44879344542892,42.350058952764,827.56,795,41.8,42.9
2016-10-19,46.61,46.61,46.4,46.4,13.05,+39.13%,0,287,32.65%,0.6695227744245,0.004696183291359,-0.4695024805,0.85651854723812,0.41480955175643,47.350049385304,824.52,795,46.8,47.9
2016-10-18,33.6,34.1,33.35,33.35,0,0.00%,0,287,34.97%,0.61310299635605,0.0046133591850525,-0.5156224781,0.9082867657176,0.3871981219069,43.30007019361,814.21,795,42.9,43.7
2016-10-17,33.6,34.1,33.35,33.35,-0.05,-0.15%,0,297,27.88%,0.58323858567453,0.0058669698278571,-0.408474789,0.93122415468557,0.38381095635032,32.300051471368,805.99,795,32,32.6
2016-10-14,33.4,33.4,33.4,33.4,2.6,+8.44%,0,297,24.56%,0.59701318979903,0.0063032568998648,-0.342844121,0.96781448081578,0.43237784279444,31.150063697655,807.45,795,30.8,31.5
2016-10-13,30.6,30.8,30.38,30.8,-6.6,-17.65%,0,292,25.55%,0.58537217290462,0.0060260801267172,-0.3533293828,0.9866605888236,0.43417069290213,31.650043469055,806.07,795,31.3,32
2016-10-12,37.4,37.4,37.4,37.4,0.4,+1.08%,0,307,26.52%,0.61614459724527,0.0055712714779027,-0.3571354887,0.9872670425198,0.47013803612554,36.50002517159,811.96,795,36.1,36.9
2016-10-11,40,41,36.43,37,-2.,-5.13%,0,310,24.32%,0.63552796753497,0.005881833724813,-0.3193469642,0.98690624557918,0.50116057371531,36.049999999994,814.17,795,35.7,36.4
2016-10-10,33.1,39,33,39,9,+30.00%,0,322,32.03%,0.56422880524412,0.0046783275188791,-0.427905499,1.0347014725063,0.44390585757653,38.150078412071,803.93,795,37.7,38.6
2016-10-07,32,32,29.38,30,-1.5,-4.76%,0,322,22.22%,0.58818287803113,0.0064084989346865,-0.2845246705,1.0638455967501,0.51088583558495,30.050103295431,805.93,795,29.6,30.5
2016-10-06,34,34.41,31.5,31.5,0,0.00%,0,322,25.26%,0.57059840787549,0.0056340663020401,-0.3213165038,1.0836865018042,0.50216540232056,32.550097865914,804.08,795,32.1,33
2016-10-05,34,34.41,31.5,31.5,0.5,+1.61%,0,325,22.90%,0.58572166274548,0.0060818996970944,-0.286921638,1.0904882771995,0.53124467621538,31.400106136044,806,795,31,31.8
2016-10-04,33.44,33.44,31,31,1,+3.33%,0,356,23.88%,0.57735588983231,0.0057993155043341,-0.2968927883,1.1063087086417,0.53330724382659,32.200091702324,805,795,31.8,32.6
2016-10-03,28.51,30.1,28.51,30,-2.8,-8.54%,0,253,23.54%,0.56303739194412,0.005874670671358,-0.2900743014,1.1223439218011,0.53078400881645,30.700076800123,802.55,795,30.3,31.1
2016-09-30,32.8,32.8,32.8,32.8,-3.43,-9.47%,0,254,23.65%,0.56773305126882,0.0056468140619242,-0.2817088689,1.1576037608767,0.56917882549357,32.250094309518,803.6,795,31.8,32.7
2016-09-29,34.52,36.23,32.3,36.23,0,0.00%,0,254,21.48%,0.59247366127367,0.0060509997159968,-0.2505154535,1.1596956937964,0.61124983356346,32.050064343575,807.23,795,31.7,32.4
2016-09-28,34.52,36.23,32.3,36.23,-0.73,-1.98%,0,224,26.32%,0.5661676508268,0.0049739638147293,-0.3067576887,1.1824906851615,0.58551355357801,36.200059770553,804.08,795,35.8,36.6
2016-09-27,35,36.96,35,36.96,4.68,+14.50%,0,227,27.82%,0.55414897898436,0.0046950456734297,-0.3217862543,1.1961915351417,0.58023882942848,37.050086529463,801.83,795,36.7,37.4
2016-09-26,32.4,32.87,32.28,32.28,-9.17,-22.12%,0,164,20.05%,0.61113587820451,0.0061974511580859,-0.2252619674,1.1829524702634,0.67122700227647,32.650067665423,809.82,795,32.2,33.1
2016-09-23,35.9,42.83,35.9,41.45,0,0.00%,0,164,23.02%,0.62713165444877,0.0051501722204272,-0.2496990586,1.2084756623754,0.72263011254847,40.200075424903,815.14,795,39.8,40.6
2016-09-22,35.9,42.83,35.9,41.45,6.75,+19.45%,0,157,25.65%,0.59354653085218,0.0047262079034883,-0.2805432501,1.2416571933085,0.68747109942535,40.550098735049,810,795,40.1,41
2016-09-21,30.9,34.7,30.7,34.7,2.2,+6.77%,0,174,24.51%,0.55215045384357,0.0050538015503764,-0.2682330454,1.2632738211806,0.64835409248805,34.400083042305,801.26,795,33.9,34.9
2016-09-20,31.6,32.5,31.6,32.5,2.4,+7.97%,0,194,22.70%,0.54671053224049,0.0054284017558803,-0.2469875274,1.2742871447472,0.6557381033984,31.700124259032,800,795,31.2,32.2
2016-09-19,28.9,30.1,28.9,30.1,-0.61,-1.99%,0,169,20.40%,0.55453097762712,0.0059657499245744,-0.2200218565,1.2835925356533,0.68160057720146,29.600092596065,801.11,795,29.2,30
2016-09-16,29.45,31,28.8,30.71,-2.09,-6.37%,0,146,21.80%,0.54195762465682,0.005483238870464,-0.230381243,1.3169186185737,0.69392301250065,31.000127741154,799.02,795,30.5,31.5
2016-09-15,30.26,32.8,30.26,32.8,3,+10.07%,0,151,26.80%,0.50124563703523,0.0045003529117531,-0.2783076095,1.3196597427113,0.63620971051392,33.14999999992,790.01,795,32.2,34.1
2016-09-14,27.3,29.8,27.3,29.8,2.3,+8.36%,0,151,23.33%,0.48656194711822,0.0051385097606151,-0.2403507304,1.3261363563923,0.63318561749348,27.950070335364,788.2,795,27.5,28.4
2016-09-13,28.89,28.89,27.5,27.5,-4.4,-13.79%,0,151,20.57%,0.51382678813516,0.0057404112510347,-0.2124213552,1.3461037768725,0.68817855229497,27.400134340738,794.01,795,26.9,27.9
2016-09-12,25.04,31.91,25.03,31.9,3.04,+10.53%,0,132,27.21%,0.47933914898695,0.0043576722508036,-0.2741250836,1.3390601228518,0.63182109196388,31.850074411438,784.52,795,31.4,32.3
2016-09-09,30.7,31.4,28.5,28.86,-7.97,-21.64%,0,31,18.70%,0.54164469362861,0.0060660868174972,-0.188161411,1.3878346683086,0.77575249989081,28.150099852674,798.77,795,27.6,28.7
2016-09-08,36.83,36.83,36.83,36.83,0,0.00%,0,31,20.14%,0.57464771609182,0.0054796697017915,-0.1974449471,1.3918531634022,0.791096,33.750104561474,805.22,795,33.3,34.2
2016-09-07,36.83,36.83,36.83,36.83,-1.97,-5.08%,0,30,22.09%,0.58453001916491,0.0049192856537107,-0.2146912456,1.3992168704335,0.837507,38.250080387692,807.93,795,37.9,38.6
2016-09-06,31.5,38.82,31.5,38.8,8.32,+27.30%,0,32,25.72%,0.53764596113996,0.0043263572288584,-0.2497590804,1.4180087040993,0.849462,38.250096532223,798.39,795,37.9,38.6
2016-09-02,30.48,30.48,30.48,30.48,0.98,+3.32%,0,32,21.26%,0.52085710478735,0.0051305466417183,-0.2009101994,1.4551490518629,0.806126,31.100142203062,795.27,795,30.7,31.5
