Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,6.2,17.2,5.76,15.9,5.59,+54.22%,0,459,90.33%,-0.5742675748,0.010611800875007,-7.3436145044,0.16033396328616,-0.0111484418,19.050001578906,787.17,795,18.6,19.5
2016-11-17,10.98,11.28,8.3,10.31,-5.06,-32.92%,0,459,0.00%,-0.830791,0.02767,-1.142617,0.103819,-0.018158,9.838145,782.5,795,9.2,10.1
2016-11-16,15.37,15.37,15.37,15.37,-2.23,-12.67%,0,459,0.00%,-0.839753,0.01643,-1.796895,0.099435,-0.01839,15.270355,770.42,795,15.9,16.6
2016-11-15,19.74,23.33,17.6,17.6,-25.73,-59.38%,0,470,0.00%,-0.87968,0.01212,-1.647684,0.081316,-0.019252,19.903755,765.47,795,20.2,21.4
2016-11-14,31.4,50.1,31.4,43.33,18.23,+72.63%,0,484,89.42%,-0.606343422,0.0053258390344815,-3.46890002,0.31077686604092,-0.0485800685,42.29999999999,771.76,795,41.8,42.8
2016-11-11,23.51,30.52,21.9,25.1,2.9,+13.06%,0,485,33.96%,-0.6799597305,0.0097957848091254,-0.9278088696,0.38470380408809,-0.0903439836,25.549999999988,776.81,795,25,26.1
2016-11-10,6,28,6,22.2,15.2,+217.14%,0,476,55.83%,-0.3941839613,0.0057492999715629,-1.6068340534,0.46145202739089,-0.0664289795,19.600037205587,810,795,19.2,20
2016-11-09,13.53,13.53,4.6,7,1.5,+27.27%,0,375,17.02%,-0.3681216424,0.017602909183255,-0.4455897382,0.47458032009248,-0.0665704925,5.5000260904,801.83,795,5.3,5.7
2016-11-08,10.1,10.1,5.37,5.5,-5.36,-49.36%,0,355,15.99%,-0.3633612039,0.017684974750944,-0.3954324881,0.49820720388253,-0.0730125656,5.3500291963453,802.03,795,3.9,6.8
2016-11-07,14.23,14.23,9.15,10.86,-7.34,-40.33%,0,365,17.84%,-0.4933359988,0.016219137372216,-0.4422765965,0.55043811920381,-0.1065869591,9.8000386630642,794.95,795,9.5,10.1
2016-11-04,20.5,20.5,18.2,18.2,-1.03,-5.36%,0,361,0.00%,-0.640911,0.01048,-0.550349,0.529393,-0.171917,17.335728,771.3,795,21.9,22.7
2016-11-03,20.2,23.17,17.1,19.23,1.53,+8.64%,0,366,25.42%,-0.5908964078,0.0096192857980353,-0.5189061052,0.6178745882621,-0.1725983472,21.949999999999,784.5,795,21.6,22.3
2016-11-02,12.4,19.98,12.4,17.7,7.11,+67.14%,0,371,35.70%,-0.4067627224,0.0064364543197775,-0.7276991595,0.65533558808911,-0.1354977525,18.400031625062,806.76,795,18.1,18.7
