Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,30.65,31.73,30.35,31,1.3,+4.38%,0,7189,200.48%,0.93648791022773,0.0056942962269867,-1.3820224907,0.013580718615003,0.0044830974704892,30.50000069166,209.87,180,30,31
2016-11-17,26,29.7,26,29.7,3.7,+14.23%,0,7195,301.63%,0.82680371342757,0.0078639627971093,-4.1700545911,0.027646529165897,0.0038625995193659,29.525001565365,206.26,180,29.4,29.65
2016-11-16,27.12,27.15,25.51,26,-3.5,-11.86%,0,7203,0.00%,0.986404,0.002697,-0.226658,0.003757,0.004853,26.262234,207.35,180,25.85,26.8
2016-11-15,26.82,29.5,25.84,29.5,0.9,+3.15%,0,7212,198.75%,0.80346681889002,0.0074430770097291,-1.7187640354,0.051873407241741,0.011082283751931,31.000002754268,206.56,180,30.55,31.45
2016-11-14,25.62,30.46,25.62,28.6,4.17,+17.07%,0,7220,173.54%,0.78347082942553,0.0079107594611018,-1.3604993866,0.062696449262855,0.014319289732265,29.175004287864,204.15,180,28.8,29.55
2016-11-11,21.1,24.98,20.37,24.43,2.11,+9.45%,0,7228,124.79%,0.74066783917313,0.0094554230536081,-0.7929979212,0.088922777403661,0.023519576486928,24.125006869188,198.25,180,23.05,25.2
2016-11-10,15.8,23.5,14.6,22.32,9.47,+73.70%,0,7314,107.99%,0.71419309056729,0.010930846817497,-0.6611154962,0.097891657109081,0.025933395918525,20.575007191204,194.53,180,19.8,21.35
2016-11-09,5.4,13.6,5.4,12.85,8.62,+203.78%,0,7401,88.21%,0.60536805327679,0.015023854069916,-0.5482421423,0.11181135493961,0.024462920881397,12.775,185,180,12.55,13
2016-11-08,3.02,4.75,2.68,4.23,0.13,+3.17%,0,7400,34.84%,0.51596032334179,0.038382581789628,-0.2073086092,0.11882240519096,0.024309505974602,4.2000076096393,180.11,180,3.95,4.45
2016-11-07,2.77,4.1,2.77,4.1,2.11,+106.03%,0,7347,37.05%,0.47850306536117,0.034606366785796,-0.2087208478,0.12377332933388,0.024569799203308,4.1250079594687,179,180,4.05,4.2
2016-11-04,1.76,2.44,1.7,1.99,-0.23,-10.36%,0,8095,25.15%,0.34725511986102,0.04252540960968,-0.1147478731,0.12753025872592,0.022730425980333,1.9700119254475,176.33,180,1.92,2.02
2016-11-03,2.4,2.47,2.09,2.22,-0.03,-1.33%,0,7936,24.65%,0.36826878227068,0.042676600093074,-0.1112080429,0.13507863967994,0.025859120533767,2.1750070714126,176.77,180,2.1,2.25
2016-11-02,2.26,2.52,2.2,2.25,-0.28,-11.07%,0,6881,23.39%,0.37843587356745,0.043859608519928,-0.103258911,0.14096151508149,0.028400929581018,2.220007283716,177.07,180,2.17,2.27
2016-11-01,2.8,3,2.45,2.53,-0.04,-1.56%,0,6820,20.87%,0.46023467567211,0.049231793099961,-0.0944190984,0.1533227985106,0.037086533367349,2.7550085055025,179,180,2.63,2.88
2016-10-31,2.35,2.67,2.35,2.57,0.36,+16.29%,0,6828,22.53%,0.40748767332288,0.043660230360265,-0.095912655,0.15313796825595,0.034449299312819,2.5300102945127,177.68,180,2.47,2.59
2016-10-28,2.34,2.54,1.78,2.21,-0.5,-18.45%,0,6790,16.84%,0.4270557555355,0.054391735027988,-0.0675943421,0.16792648644478,0.042588981302716,2.210014914298,178.51,180,2.18,2.24
