Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,0.02,0.02,0.02,0.02,0,0.00%,0,1153,100.85%,-0.0015628887,0.0004599785,-0.0282789505,0.000552719,-0.0000085538,0.0050000158142779,209.87,180,0,0.01
2016-11-17,0.02,0.02,0.02,0.02,-0.01,-33.33%,0,1154,100.20%,-0.0043679416,0.0011835594205389,-0.0693486392,0.0013842940617302,-0.0000237863,0.015000124862737,206.26,180,0,0.03
2016-11-16,0.03,0.03,0.03,0.03,0,0.00%,0,1140,73.28%,-0.0042130897,0.0011022446439648,-0.0349030416,0.0019055469611963,-0.000046158,0.015000117654598,207.35,180,0,0.03
2016-11-15,0.04,0.08,0.03,0.03,-0.06,-66.67%,0,1041,72.71%,-0.0169589818,0.0030881420311871,-0.0954768011,0.0078806096682702,-0.0002776017,0.084999999999154,206.56,180,0.01,0.16
2016-11-14,0.05,0.11,0.05,0.09,0,0.00%,0,1055,60.36%,-0.0214823337,0.0039851574360672,-0.0829476952,0.010995713075436,-0.0004625569,0.10500081921534,204.15,180,0.05,0.16
2016-11-11,0.15,0.15,0.07,0.09,-0.11,-55.00%,0,1016,37.49%,-0.0295949634,0.0065342560310882,-0.0494390279,0.018474217079208,-0.0010769899,0.12000127282586,198.25,180,0.05,0.19
2016-11-10,0.15,0.31,0.11,0.2,-0.11,-35.48%,0,998,33.69%,-0.0568336348,0.011761298362138,-0.0691914294,0.032879857322216,-0.0023091109,0.24000252818359,194.53,180,0.16,0.32
2016-11-09,1.03,1.24,0.27,0.31,-1.87,-85.78%,0,870,15.85%,-0.1324059844,0.046541379564824,-0.0546924888,0.062237636110347,-0.0056470701,0.31000366636408,185,180,0.27,0.35
2016-11-08,3.5,3.65,2.11,2.18,-0.51,-18.96%,0,913,19.16%,-0.485551147,0.069816308863368,-0.1135238036,0.11884166123975,-0.0217783192,2.219999999985,180.11,180,2.03,2.41
2016-11-07,3.3,3.4,2.69,2.69,-3.36,-55.54%,0,556,17.36%,-0.5669661895,0.072953537086224,-0.0960305417,0.12220165290246,-0.0274513779,2.6900118595924,179,180,2.65,2.73
2016-11-04,6.6,6.6,5.35,6.05,0.6,+11.01%,0,552,27.82%,-0.6368592466,0.03906489689609,-0.1283341552,0.1295574936667,-0.0391544292,5.9749999999921,176.33,180,5.85,6.1
2016-11-03,4.75,5.55,4.67,5.45,0,0.00%,0,536,29.26%,-0.6082736327,0.036661145414497,-0.1338674532,0.13763812956246,-0.040467129,6.0250076757652,176.77,180,5.75,6.3
2016-11-02,5,5.85,5,5.45,0.7,+14.74%,0,542,25.40%,-0.6106423659,0.040731021118247,-0.1124383686,0.14214793764488,-0.0431603841,5.4250020899828,177.07,180,5.3,5.55
2016-11-01,3.95,5.5,3.95,4.75,0.51,+12.03%,0,339,27.42%,-0.5253227216,0.037589444068105,-0.12367198,0.15377761759814,-0.0404433216,4.7500130626603,179,180,4.55,4.95
2016-10-31,4.45,4.7,4.15,4.24,-0.56,-11.67%,0,314,18.45%,-0.6162867119,0.052568352575117,-0.0770509634,0.15064557454673,-0.0487585453,4.2250092133565,177.68,180,4.1,4.35
2016-10-28,4.8,5.93,4.75,4.8,0.85,+21.52%,0,320,24.76%,-0.5434471145,0.037419371513463,-0.0997228809,0.16977075014886,-0.0514293003,5.0250151264747,178.51,180,4.9,5.15
2016-10-27,5.05,5.2,3.95,3.95,-0.9,-18.56%,0,273,17.79%,-0.5823389781,0.050180736631576,-0.06865785,0.17075491963,-0.05649033,4.1000086487887,178.19,180,4,4.2
2016-10-26,6.99,6.99,4.5,4.85,-1.,-17.09%,0,227,0.00%,-0.631656,0.047073,-0.070893,0.160128,-0.067155,4.960475,174.79,180,4.75,5
2016-10-25,5.88,5.95,5.85,5.85,-0.25,-4.10%,0,222,14.04%,-0.7752851103,0.04759129038337,-0.0388706972,0.13445195089029,-0.076148547,5.7500130324753,175.04,180,5.6,5.9
2016-10-24,6.2,6.45,5.9,6.1,-0.6,-8.96%,0,235,18.77%,-0.6876516566,0.041066315152476,-0.0605800031,0.16251490612397,-0.0737432634,6.1750159859684,175.5,180,6.05,6.3
2016-10-21,6.7,6.9,6.6,6.7,-0.1,-1.47%,0,208,0.00%,-0.723035,0.039587,-0.053317,0.156098,-0.094734,7.23806,172.84,180,6.6,6.8
2016-10-20,6.3,7.25,6.3,6.8,0.15,+2.26%,0,206,14.94%,-0.7830341208,0.040121918770122,-0.0366521138,0.14397526527365,-0.092270236,6.875007911402,174,180,6.8,6.95
2016-10-19,7.35,7.35,6.35,6.65,-2.,-23.12%,0,27,10.99%,-0.8800122875,0.036560853086,-0.0182504457,0.099285173358756,-0.1306951615,6.9499999999777,173.37,180,6.85,7.05
2016-10-18,8.8,9.31,8.65,8.65,-3.13,-26.57%,0,14,14.70%,-0.8504156157,0.031554647623812,-0.027649586,0.11655550406887,-0.1174642125,8.5500094422119,172.01,180,8.4,8.7
2016-10-17,10.9,11.78,10.9,11.78,0.83,+7.58%,0,14,28.19%,-0.7283285337,0.023291373598707,-0.0737853556,0.16734432763379,-0.1142555123,11.775015595292,170.5,180,11.45,12.1
2016-10-14,10.95,10.95,10.95,10.95,0,0.00%,0,N/A,25.39%,-0.7151052602,0.025149983492278,-0.0653871814,0.18027919608035,-0.1126334037,10.700015729016,171.6,180,10.35,11.05
"Downloaded from Barchart.com as of 01-10-2026 08:57am CST"
