Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-18,0.05,0.16,0.05,0.16,0,0.00%,0,288,102.20%,-0.0392117879,0.0060653369143339,-0.6011940629,0.01159513350284,-0.000266396,0.22500049852585,263.14,240,0,0.45
2016-11-17,0.05,0.16,0.05,0.16,0,0.00%,0,288,73.78%,-0.0073856497,0.0020059713373442,-0.1039733106,0.0028187534243175,-0.0000510807,0.025000186161357,263.5,240,0,0.05
2016-11-16,0.05,0.16,0.05,0.16,0,0.00%,0,288,56.52%,-0.006805499,0.0017071805280472,-0.0528695476,0.0037421030032158,-0.0000951063,0.025000205005307,265.87,240,0,0.05
2016-11-15,0.05,0.16,0.05,0.16,0.11,+220.00%,0,293,66.26%,-0.0276830656,0.0039394901123418,-0.1712813919,0.015511737301394,-0.0005873383,0.17500083297785,268.79,240,0,0.35
2016-11-14,0.05,0.05,0.04,0.05,-0.16,-76.19%,0,290,39.35%,-0.0188428673,0.0042742484958925,-0.061912705,0.012589755728294,-0.0005153682,0.075000777508573,261.23,240,0,0.15
2016-11-11,0.21,0.21,0.21,0.21,0.01,+5.00%,0,291,30.08%,-0.0397439036,0.0079738556963176,-0.0657745567,0.030628060068508,-0.0018715983,0.17500166625661,257.96,240,0.05,0.3
2016-11-10,0.2,0.2,0.15,0.2,-0.05,-20.00%,0,290,28.31%,-0.0444585539,0.0086958167887519,-0.063271318,0.035788311745857,-0.0023870365,0.20000128705873,257.5,240,0.1,0.3
2016-11-09,0.3,0.5,0.25,0.25,-3.15,-92.65%,0,288,27.37%,-0.0573591194,0.010423130440333,-0.0704071484,0.046334451722228,-0.0034481071,0.27500080831166,256.59,240,0.15,0.4
2016-11-08,3.5,3.5,3.4,3.4,-0.55,-13.92%,0,293,20.10%,-0.5430014016,0.049884706922559,-0.157291026,0.15688183915126,-0.0321124225,3.7000093571602,239,240,3.5,3.9
2016-11-07,4.35,4.55,3.95,3.95,-1.05,-21.00%,0,298,22.08%,-0.499388073,0.04340408346663,-0.1663114101,0.16607669435738,-0.0329297144,3.7499999999707,239.83,240,3.6,3.9
2016-11-04,4.4,5,4.4,5,0,0.00%,0,311,28.13%,-0.5235044538,0.030276427329171,-0.1867191714,0.18626543623527,-0.0442311522,5.8500173982079,238.85,240,5.6,6.1
2016-11-03,3.11,5.2,3.11,5,3.32,+197.62%,0,347,29.94%,-0.4186928827,0.026536833019169,-0.1913604058,0.1920474689384,-0.038960538,4.6500124422219,242.55,240,4.4,4.9
2016-11-02,1.68,1.68,1.68,1.68,-0.47,-21.86%,0,341,18.49%,-0.2918327616,0.036204817551986,-0.1015032877,0.17605271916084,-0.0291178547,1.7750149706784,244.95,240,1.6,1.95
2016-11-01,1.4,2.15,1.4,2.15,0.45,+26.47%,0,218,22.70%,-0.2649067476,0.027047051877627,-0.1164022658,0.17468859559772,-0.0285692272,2.0000151096623,247.19,240,1.9,2.1
2016-10-31,1.59,1.7,1.59,1.7,0.43,+33.86%,0,209,20.63%,-0.2236141792,0.0262740384347,-0.0943783671,0.164741823415,-0.0256769463,1.4999999999978,248.24,240,1.4,1.6
2016-10-28,1.25,1.27,1.25,1.27,0.05,+4.10%,0,202,19.15%,-0.2113759643,0.025331817700982,-0.0785008045,0.17258526065626,-0.0283928749,1.400010328224,248.72,240,1.3,1.5
2016-10-27,1.14,1.22,1.05,1.22,-0.21,-14.69%,0,202,19.49%,-0.1834553742,0.022178052253789,-0.0720954953,0.16315386292172,-0.0260616348,1.2250007433957,250.28,240,1.1,1.35
2016-10-26,1.43,1.43,1.43,1.43,0.23,+19.17%,0,203,15.55%,-0.1778144197,0.026841302287391,-0.0547629588,0.16248727320949,-0.0261184343,0.95000750360881,248.6,240,0.85,1.05
2016-10-25,2.9,2.9,1.18,1.2,-8.53,-87.67%,0,190,6.77%,-0.3930980028,0.091882085209118,-0.0332487202,0.2376711833207,-0.0563460907,1.1750179856836,241.08,240,1.05,1.3
2016-10-24,9.73,9.73,9.73,9.73,-1.07,-9.91%,0,200,14.47%,-0.8244064411,0.029553344593036,-0.0447263418,0.15640205587376,-0.1094114811,9.300010901923,231.5,240,9,9.6
2016-10-21,11,11.2,10.77,10.8,1.4,+14.89%,0,203,20.10%,-0.7428411931,0.025077636402585,-0.0735774613,0.20631052856579,-0.1168931315,10.85001308789,231.07,240,10.7,11
2016-10-20,10.6,10.6,9.4,9.4,0.1,+1.08%,0,202,18.33%,-0.7312862324,0.027514766093809,-0.0677001163,0.21573560489207,-0.1188543427,9.7500151158085,232.15,240,9.5,10
2016-10-19,9.5,9.5,9.3,9.3,0.52,+5.92%,0,202,19.94%,-0.6856146728,0.026625588434858,-0.0789457094,0.23705686197128,-0.1391358527,9.5500045603764,233.08,240,9.3,9.8
2016-10-18,9.14,9.14,8.7,8.78,0,0.00%,0,202,21.83%,-0.6356741585,0.025201170896044,-0.0903400629,0.25637482138968,-0.1327458949,9.2999999999934,234.29,240,9.1,9.5
2016-10-17,9.14,9.14,8.7,8.78,-0.01,-0.11%,0,199,17.29%,-0.7190626654,0.02829356925346,-0.0629267561,0.232148275068,-0.1548811651,9.3500117669814,232.68,240,9.2,9.5
2016-10-14,8.79,8.79,8.79,8.79,-1.41,-13.82%,0,191,19.82%,-0.6646301657,0.025431421315231,-0.0746521065,0.26325720859486,-0.1567283707,9.7000016308099,233.38,240,9.5,9.9
2016-10-13,10.3,10.3,10.2,10.2,0.46,+4.72%,0,191,13.85%,-0.7856649329,0.028914176140078,-0.0409278541,0.21199708632798,-0.1888705924,9.550014076211,231.66,240,9.4,9.7
2016-10-12,9.18,9.74,9.18,9.74,0.69,+7.62%,0,189,16.93%,-0.7283907063,0.026517019262384,-0.0560903677,0.24470507004899,-0.180855842,10.100014798409,231.93,240,9.8,10.4
2016-10-11,8.8,9.05,8.8,9.05,0,0.00%,0,189,20.48%,-0.6609020998,0.023765964294015,-0.0741648707,0.27503818190791,-0.1631837834,10.350016419536,233,240,10.2,10.5
2016-10-10,8.8,9.05,8.8,9.05,-0.37,-3.93%,0,187,19.10%,-0.6505741724,0.025351798149942,-0.0693264953,0.28276889659185,-0.1710025198,9.4999999999951,233.82,240,9.3,9.7
2016-10-07,9.8,9.8,9.4,9.42,1.22,+14.88%,0,186,17.15%,-0.6791475355,0.026381890963097,-0.057872284,0.28301289056922,-0.1920418216,9.5500176526014,233.2,240,9.4,9.7
2016-10-06,8.43,8.5,7.95,8.2,0.8,+10.81%,0,177,22.05%,-0.5511189192,0.022056615029704,-0.0825398319,0.3217154035919,-0.1599278748,8.8000167127965,237,240,8.5,9.1
2016-10-05,7.21,7.4,7.21,7.4,-0.2,-2.63%,0,177,22.05%,-0.5054339207,0.021794944585376,-0.0829737827,0.33095674163921,-0.1500982528,7.8000309613648,239.05,240,7.6,8
2016-10-04,6.1,8,6.1,7.6,0.85,+12.59%,0,129,24.12%,-0.4642632117,0.01946988993809,-0.0900426044,0.33606943319926,-0.1314627924,7.6500320318639,240.96,240,7.5,7.8
2016-10-03,7.2,7.5,6.75,6.75,0.75,+12.50%,0,129,15.56%,-0.528071577,0.03016571876722,-0.0571325356,0.3370848587159,-0.1662853599,5.9500297933301,238.71,240,5.8,6.1
2016-09-30,7.5,7.5,6,6,0.3,+5.26%,0,126,22.46%,-0.4230382974,0.019572268570366,-0.0800795774,0.34852850255303,-0.1467633167,6.5000226918354,243.06,240,6.4,6.6
2016-09-29,4.3,5.8,4.3,5.7,1.4,+32.56%,0,111,22.17%,-0.3655796559,0.018621447729319,-0.076308308,0.34242011757209,-0.1304956476,5.2999999999907,246.08,240,5.1,5.5
2016-09-28,4.08,4.3,4.08,4.3,0.1,+2.38%,0,92,18.51%,-0.3458269287,0.021650680035293,-0.061875434,0.33917959890094,-0.1246612897,4.1000087568524,246.13,240,4,4.2
2016-09-27,4.1,4.21,3.9,4.2,-0.21,-4.76%,0,32,18.48%,-0.3498780982,0.021585112839692,-0.0613499162,0.34374775424469,-0.1285938901,4.2000118145962,245.98,240,4.1,4.3
2016-09-26,3.9,4.41,3.9,4.41,0.11,+2.56%,0,32,18.59%,-0.3577537071,0.02144834660993,-0.0616514046,0.34941673556601,-0.1340299611,4.4000170449093,245.71,240,4.3,4.5
2016-09-23,4.03,4.5,4.03,4.3,0.39,+9.97%,0,21,17.88%,-0.3487444817,0.021463969094357,-0.0573170991,0.35643935514484,-0.1381114266,4.2000149617595,246.08,240,4,4.4
2016-09-22,4.2,4.2,3.91,3.91,-2.29,-36.94%,0,20,15.91%,-0.3624423415,0.024338200798502,-0.0510958835,0.3628574574578,-0.144811647,3.9500214821143,244.95,240,3.8,4.1
2016-09-21,6.1,6.2,6.1,6.2,0,0.00%,0,20,14.83%,-0.4579137869,0.027820519979425,-0.0492328237,0.38117439028709,-0.1836476395,5.1500372748777,241.14,240,5,5.3
2016-09-20,6.1,6.2,6.1,6.2,-0.4,-6.06%,0,10,17.97%,-0.4555551299,0.022732986385455,-0.058886647,0.38453116413777,-0.1879081922,6.3000320242055,241.35,240,6.1,6.5
2016-09-19,6.6,6.6,6.6,6.6,0,0.00%,0,N/A,15.01%,-0.5081834341,0.027372752745021,-0.0488038102,0.38677145043367,-0.2100958748,6.200037812004,239.3,240,6,6.4
"Downloaded from Barchart.com as of 01-10-2026 08:59am CST"
