cycle,state,modeldate,candidate_name,pct_trend_adjusted,winner
2020,National,2020-02-27,Donald Trump,45.51636,Joseph R. Biden Jr.
2020,National,2020-02-27,Joseph R. Biden Jr.,49.3387,Joseph R. Biden Jr.
2020,National,2020-02-28,Donald Trump,45.56311,Joseph R. Biden Jr.
2020,National,2020-02-28,Joseph R. Biden Jr.,49.75305,Joseph R. Biden Jr.
2020,National,2020-02-29,Donald Trump,45.57798,Joseph R. Biden Jr.
2020,National,2020-02-29,Joseph R. Biden Jr.,49.71992,Joseph R. Biden Jr.
2020,National,2020-03-01,Donald Trump,45.57798,Joseph R. Biden Jr.
2020,National,2020-03-01,Joseph R. Biden Jr.,49.71992,Joseph R. Biden Jr.
2020,National,2020-03-02,Donald Trump,45.58205,Joseph R. Biden Jr.
2020,National,2020-03-02,Joseph R. Biden Jr.,49.72105,Joseph R. Biden Jr.
2020,National,2020-03-03,Donald Trump,45.58198,Joseph R. Biden Jr.
2020,National,2020-03-03,Joseph R. Biden Jr.,49.72177,Joseph R. Biden Jr.
2020,National,2020-03-04,Joseph R. Biden Jr.,49.72267,Joseph R. Biden Jr.
2020,National,2020-03-04,Donald Trump,45.58018,Joseph R. Biden Jr.
2020,National,2020-03-05,Donald Trump,45.58027,Joseph R. Biden Jr.
2020,National,2020-03-05,Joseph R. Biden Jr.,49.72296,Joseph R. Biden Jr.
2020,National,2020-03-06,Donald Trump,45.57991,Joseph R. Biden Jr.
2020,National,2020-03-06,Joseph R. Biden Jr.,49.72327,Joseph R. Biden Jr.
2020,National,2020-03-07,Donald Trump,45.01874,Joseph R. Biden Jr.
2020,National,2020-03-07,Joseph R. Biden Jr.,50.37265,Joseph R. Biden Jr.
2020,National,2020-03-08,Donald Trump,44.17655,Joseph R. Biden Jr.
2020,National,2020-03-08,Joseph R. Biden Jr.,50.54088,Joseph R. Biden Jr.
2020,National,2020-03-09,Donald Trump,44.16133,Joseph R. Biden Jr.
2020,National,2020-03-09,Joseph R. Biden Jr.,50.35201,Joseph R. Biden Jr.
2020,National,2020-03-10,Donald Trump,44.06461,Joseph R. Biden Jr.
2020,National,2020-03-10,Joseph R. Biden Jr.,50.27746,Joseph R. Biden Jr.
2020,National,2020-03-11,Joseph R. Biden Jr.,49.89032,Joseph R. Biden Jr.
