modeldate,George Bush,Michael S. Dukakis,margin
1988-03-03,66.252325,28.623114,37.629211
1988-03-04,66.252325,28.623114,37.629211
1988-03-05,66.252325,28.623114,37.629211
1988-03-06,66.252325,28.623114,37.629211
1988-03-07,66.252325,28.623114,37.629211
1988-03-08,66.252325,28.623114,37.629211
1988-03-09,55.749673,33.942011,21.807662
1988-03-10,46.264776,37.097468,9.167307999999998
1988-03-11,49.973259,41.689389,8.28387
1988-03-12,49.973259,41.689389,8.28387
1988-03-13,49.973259,41.689389,8.28387
1988-03-14,49.973259,41.689389,8.28387
1988-03-15,49.973259,41.689389,8.28387
1988-03-16,49.973259,41.689389,8.28387
1988-03-17,49.973259,41.689389,8.28387
1988-03-18,49.973259,41.689389,8.28387
1988-03-19,49.973259,41.689389,8.28387
1988-03-20,49.973259,41.689389,8.28387
1988-03-21,47.550262,48.795991,1.2457290000000043
1988-03-22,47.818705,47.111527,0.707177999999999
1988-03-23,47.818705,47.111527,0.707177999999999
1988-03-24,47.818705,47.111527,0.707177999999999
1988-03-25,47.818705,47.111527,0.707177999999999
1988-03-26,47.818705,47.111527,0.707177999999999
1988-03-27,47.816512,47.108828,0.7076840000000004
1988-03-28,47.816512,47.108828,0.7076840000000004
1988-03-29,47.816512,47.108828,0.7076840000000004
1988-03-30,47.816512,47.108828,0.7076840000000004
1988-03-31,49.138342,45.05281,4.085532000000001
1988-04-01,49.138342,45.05281,4.085532000000001
1988-04-02,49.138342,45.05281,4.085532000000001
1988-04-03,49.138342,45.05281,4.085532000000001
1988-04-04,49.138342,45.05281,4.085532000000001
1988-04-05,49.138342,45.05281,4.085532000000001
1988-04-06,49.138342,45.05281,4.085532000000001
1988-04-07,47.97719,46.644138,1.3330520000000021
1988-04-08,47.97719,46.644138,1.3330520000000021
1988-04-09,47.97719,46.644138,1.3330520000000021
1988-04-10,47.97719,46.644138,1.3330520000000021
1988-04-11,47.97719,46.644138,1.3330520000000021
1988-04-12,47.97719,46.644138,1.3330520000000021
1988-04-13,47.97719,46.644138,1.3330520000000021
1988-04-14,48.108696,46.565201,1.543495
1988-04-15,48.108696,46.565201,1.543495
1988-04-16,48.106619,46.567042,1.5395770000000013
1988-04-17,48.106619,46.567042,1.5395770000000013
1988-04-18,48.106619,46.567042,1.5395770000000013
1988-04-19,48.106494,46.567218,1.539276000000001
1988-04-20,48.106494,46.567218,1.539276000000001
1988-04-21,45.802664,47.714805,1.9121409999999983
1988-04-22,45.802664,47.714805,1.9121409999999983
1988-04-23,45.982013,47.064733,1.0827199999999948
1988-04-24,45.982013,47.064733,1.0827199999999948
1988-04-25,45.982013,47.064733,1.0827199999999948
1988-04-26,45.982013,47.064733,1.0827199999999948
1988-04-27,45.982013,47.064733,1.0827199999999948
1988-04-28,45.978088,47.068476,1.0903879999999972
1988-04-29,45.978264,47.067036,1.0887719999999987
1988-04-30,45.978264,47.067036,1.0887719999999987
1988-05-01,45.978264,47.067036,1.0887719999999987
1988-05-02,44.80411,47.881168,3.077058000000001
1988-05-03,44.80411,47.881168,3.077058000000001
1988-05-04,44.80411,47.881168,3.077058000000001
1988-05-05,44.80411,47.881168,3.077058000000001
1988-05-06,44.80411,47.881168,3.077058000000001
1988-05-07,44.80411,47.881168,3.077058000000001
1988-05-08,44.80411,47.881168,3.077058000000001
1988-05-09,44.803898,47.881305,3.077407000000001
1988-05-10,45.278414,48.512778,3.2343639999999994
1988-05-11,45.278414,48.512778,3.2343639999999994
1988-05-12,42.314336,48.519513,6.205177000000006
1988-05-13,42.314336,48.519513,6.205177000000006
1988-05-14,42.314336,48.519513,6.205177000000006
1988-05-15,41.357798,51.332861,9.975062999999999
1988-05-16,41.742196,51.363916,9.621720000000003
1988-05-17,41.742196,51.363916,9.621720000000003
1988-05-18,41.742196,51.363916,9.621720000000003
1988-05-19,41.742196,51.363916,9.621720000000003
1988-05-20,41.742196,51.363916,9.621720000000003
1988-05-21,41.742196,51.363916,9.621720000000003
1988-05-22,42.435692,52.39734,9.961647999999997
1988-05-23,42.435692,52.39734,9.961647999999997
1988-05-24,42.435692,52.39734,9.961647999999997
1988-05-25,41.617141,52.605017,10.987876
1988-05-26,41.926045,52.920075,10.994029999999995
1988-05-27,41.926045,52.920075,10.994029999999995
1988-05-28,41.926045,52.920075,10.994029999999995
1988-05-29,41.926045,52.920075,10.994029999999995
1988-05-30,41.926045,52.920075,10.994029999999995
1988-05-31,41.926045,52.920075,10.994029999999995
1988-06-01,41.927491,52.920635,10.993143999999994
1988-06-02,41.927491,52.920635,10.993143999999994
1988-06-03,41.927491,52.920635,10.993143999999994
1988-06-04,41.927491,52.920635,10.993143999999994
1988-06-05,41.927491,52.920635,10.993143999999994
1988-06-06,41.927491,52.920635,10.993143999999994
1988-06-07,41.927491,52.920635,10.993143999999994
1988-06-08,44.553059,49.827238,5.274179000000004
1988-06-09,42.865331,47.985096,5.119765000000001
1988-06-10,42.865331,47.985096,5.119765000000001
1988-06-11,42.865331,47.985096,5.119765000000001
1988-06-12,39.951291,49.316412,9.365121000000002
1988-06-13,39.951291,49.316412,9.365121000000002
1988-06-14,39.951291,49.316412,9.365121000000002
1988-06-15,39.951291,49.316412,9.365121000000002
1988-06-16,39.951291,49.316412,9.365121000000002
