modeldate,Bill Clinton,George Bush,margin
1992-02-27,39.976307,51.183662,11.207355
1992-02-28,39.976307,51.183662,11.207355
1992-02-29,39.976307,51.183662,11.207355
1992-03-01,39.9947,50.906214,10.911513999999997
1992-03-02,41.820717,51.358155,9.537437999999995
1992-03-03,41.820747,51.358146,9.537399
1992-03-04,41.8208,51.358128,9.537328000000002
1992-03-05,41.8208,51.358128,9.537328000000002
1992-03-06,41.8208,51.358128,9.537328000000002
1992-03-07,41.8208,51.358128,9.537328000000002
1992-03-08,42.323691,49.062262,6.738571
1992-03-09,42.323691,49.062262,6.738571
1992-03-10,42.323691,49.062262,6.738571
1992-03-11,42.323691,49.062262,6.738571
1992-03-12,43.680017,47.932766,4.2527490000000014
1992-03-13,43.680017,47.932766,4.2527490000000014
1992-03-14,43.680017,47.932766,4.2527490000000014
1992-03-15,43.680017,47.932766,4.2527490000000014
1992-03-16,43.680017,47.932766,4.2527490000000014
1992-03-17,43.680017,47.932766,4.2527490000000014
1992-03-18,43.680017,47.932766,4.2527490000000014
1992-03-19,43.680017,47.932766,4.2527490000000014
1992-03-20,43.680809,47.90751,4.2267009999999985
1992-03-21,43.639247,47.863453,4.224206000000002
1992-03-22,43.551034,48.824738,5.273704000000002
1992-03-23,43.551034,48.824738,5.273704000000002
1992-03-24,43.551034,48.824738,5.273704000000002
1992-03-25,43.551034,48.824738,5.273704000000002
1992-03-26,43.551815,48.82494,5.273125
1992-03-27,43.551815,48.82494,5.273125
1992-03-28,43.551815,48.82494,5.273125
1992-03-29,38.244701,46.77932,8.534619
1992-03-30,38.244701,46.77932,8.534619
1992-03-31,38.24428,46.77868,8.534399999999998
1992-04-01,35.747668,45.886985,10.139317000000005
1992-04-02,33.525969,45.571449,12.045479999999998
1992-04-03,33.532783,45.581903,12.049119999999995
1992-04-04,33.547567,45.587545,12.039977999999998
1992-04-05,33.546794,45.587518,12.040724000000004
1992-04-06,33.563653,45.596778,12.033124999999998
1992-04-07,33.518351,45.446927,11.928576
1992-04-08,33.518351,45.446927,11.928576
1992-04-09,29.72756,43.274745,13.547185000000002
1992-04-10,28.337617,42.957607,14.619990000000001
1992-04-11,28.337617,42.957607,14.619990000000001
1992-04-12,29.94059,43.436885,13.496294999999996
1992-04-13,29.94059,43.436885,13.496294999999996
1992-04-14,29.083784,41.483658,12.399873999999997
1992-04-15,28.849461,41.250391,12.400929999999999
1992-04-16,28.563795,41.317965,12.754170000000002
1992-04-17,28.563795,41.317965,12.754170000000002
1992-04-18,28.544851,41.316278,12.771426999999996
1992-04-19,28.544851,41.316278,12.771426999999996
1992-04-20,28.544851,41.316278,12.771426999999996
1992-04-21,28.544851,41.316278,12.771426999999996
1992-04-22,25.956341,40.121471,14.165130000000001
1992-04-23,26.832751,39.771918,12.939167000000001
1992-04-24,26.832751,39.771918,12.939167000000001
1992-04-25,26.703797,39.283713,12.579915999999997
1992-04-26,27.374605,38.996024,11.621419
1992-04-27,27.374605,38.996024,11.621419
1992-04-28,27.374329,38.995845,11.621516000000003
1992-04-29,27.374329,38.995845,11.621516000000003
1992-04-30,27.374431,39.008388,11.633956999999995
1992-05-01,26.326803,38.089192,11.762388999999995
1992-05-02,26.326803,38.089192,11.762388999999995
1992-05-03,27.376516,36.852176,9.475660000000001
1992-05-04,27.285565,36.844447,9.558882000000004
1992-05-05,27.285565,36.844447,9.558882000000004
1992-05-06,27.28535,36.84432,9.558970000000002
1992-05-07,27.969749,38.252811,10.283062000000001
1992-05-08,28.344067,37.791361,9.447294000000003
1992-05-09,28.344213,37.792522,9.448308999999998
1992-05-10,28.813593,36.920225,8.106632000000001
1992-05-11,28.813593,36.920225,8.106632000000001
1992-05-12,28.353873,36.159629,7.805756000000002
1992-05-13,28.353873,36.159629,7.805756000000002
1992-05-14,27.659604,34.668246,7.008642000000002
1992-05-15,27.659604,34.668246,7.008642000000002
1992-05-16,27.649977,34.67953,7.029553
1992-05-17,27.649977,34.67953,7.029553
1992-05-18,27.649977,34.67953,7.029553
1992-05-19,28.989976,34.646057,5.656081
1992-05-20,28.260248,34.529506,6.269257999999997
1992-05-21,28.250386,34.527496,6.27711
1992-05-22,27.809837,34.962669,7.1528319999999965
1992-05-23,27.809837,34.962669,7.1528319999999965
1992-05-24,27.809837,34.962669,7.1528319999999965
1992-05-25,27.824781,35.006407,7.181626000000001
1992-05-26,27.842102,35.023987,7.181884999999998
1992-05-27,27.842102,35.023987,7.181884999999998
1992-05-28,27.842102,35.023987,7.181884999999998
1992-05-29,27.841281,35.025257,7.183976000000005
1992-05-30,28.291993,35.137807,6.845814000000001
1992-05-31,28.055112,33.93198,5.876868000000002
1992-06-01,28.055113,33.93198,5.876867000000004
1992-06-02,28.05509,33.931948,5.876857999999999
1992-06-03,28.055061,33.931907,5.876846000000004
1992-06-04,26.848906,31.232646,4.3837399999999995
1992-06-05,26.469497,31.552473,5.082975999999999
1992-06-06,26.469497,31.552473,5.082975999999999
1992-06-07,25.768433,31.334687,5.566253999999997
1992-06-08,25.474736,31.008563,5.533826999999999
1992-06-09,25.474639,31.008384,5.533745
1992-06-10,25.17104,31.290283,6.119242999999997
1992-06-11,25.17128,31.290557,6.119277
1992-06-12,25.17128,31.290557,6.119277
1992-06-13,25.171956,31.288121,6.116164999999999
1992-06-14,24.781733,31.354042,6.572309000000001
1992-06-15,24.785214,31.357028,6.571814
1992-06-16,24.785214,31.357028,6.571814
1992-06-17,24.785214,31.357028,6.571814
1992-06-18,24.785214,31.357028,6.571814
1992-06-19,24.785214,31.357028,6.571814
1992-06-20,25.139546,32.420469,7.280922999999998
1992-06-21,25.13243,32.404685,7.272255000000001
1992-06-22,25.124343,32.391745,7.267402000000001
1992-06-23,25.124384,32.391736,7.2673520000000025
1992-06-24,25.124384,32.391736,7.2673520000000025
1992-06-25,25.124384,32.391736,7.2673520000000025
1992-06-26,25.12356,32.391025,7.267464999999998
1992-06-27,25.12356,32.391025,7.267464999999998
1992-06-28,28.815996,31.640557,2.8245610000000028
1992-06-29,28.233777,31.837587,3.6038099999999993
1992-06-30,28.218514,31.833041,3.6145270000000025
1992-07-01,28.215893,31.83249,3.6165969999999987
1992-07-02,28.215893,31.83249,3.6165969999999987
1992-07-03,28.215893,31.83249,3.6165969999999987
1992-07-04,28.215893,31.83249,3.6165969999999987
1992-07-05,28.204799,31.826593,3.6217939999999977
1992-07-06,28.202444,31.824378,3.6219339999999995
1992-07-07,29.570816,32.00844,2.4376239999999996
1992-07-08,33.630514,38.447994,4.817480000000003
1992-07-09,33.717769,36.883752,3.165983000000004
1992-07-10,34.46799,36.96057,2.4925799999999967
1992-07-11,34.33206,37.018217,2.6861570000000015
1992-07-12,34.332061,37.018203,2.6861419999999967
1992-07-13,35.149768,36.782722,1.632953999999998
1992-07-14,40.354123,35.619461,4.734662
1992-07-15,40.40286,35.585431,4.817428999999997
1992-07-16,44.576148,30.854923,13.721225000000004
1992-07-17,52.473727,29.786857,22.686869999999995
1992-07-18,53.24787,30.465244,22.782626
1992-07-19,51.394463,29.533277,21.861186000000004
1992-07-20,51.385344,29.534626,21.850718000000004
1992-07-21,51.380866,29.534695,21.846171
1992-07-22,51.380866,29.534695,21.846171
1992-07-23,52.176283,28.444467,23.731816
1992-07-24,52.662874,29.84035,22.822524
1992-07-25,52.696966,29.838112,22.858854000000004
1992-07-26,53.520537,30.457025,23.063511999999996
1992-07-27,53.513641,30.446457,23.067184
1992-07-28,53.513789,30.446432,23.067357
1992-07-29,53.513789,30.446432,23.067357
1992-07-30,53.521198,30.446907,23.074291
1992-07-31,53.521198,30.446907,23.074291
1992-08-01,55.32866,30.055021,25.273639
